,provinsi,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,0,0,0,0,,,,,,,,,0,0,1,-1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,-1
2020-03-10,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2020-03-11,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,-1
2020-03-12,,,,,,,,,0,0,1,-1,,,,,,,,,0,4,1,-5,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,-6
2020-03-13,,,,,,,,,1,0,0,1,,,,,,,,,0,3,1,-4,,,,,,,,,3,4,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,-4
2020-03-14,,,,,,,,,1,0,0,1,,,,,,,,,1,1,1,-1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,3
2020-03-15,,,,,,,,,1,0,0,1,,,,,,,,,6,0,3,3,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,3,6
2020-03-16,,,,,,,,,1,0,0,1,,,,,1,0,0,1,1,0,3,-2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,1
2020-03-17,,,,,,,,,0,0,1,-1,,,,,0,0,0,0,1,0,1,0,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,4,0,3,1
2020-03-18,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,1,-1,,,,,,,,,0,1,1,-2,1,0,1,0,2,0,0,2,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,1,3,-1
2020-03-19,,,,,,,,,0,0,1,-1,,,,,0,0,0,0,1,1,0,0,,,,,,,,,0,0,1,-1,1,0,0,1,0,1,0,-1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,2,2,-2
2020-03-20,,,,,,,,,0,0,1,-1,,,,,0,1,0,-1,5,1,3,1,,,,,,,,,2,0,2,0,2,0,0,2,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,9,2,6,1
2020-03-21,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,6,3,-9,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,6,4,-7
2020-03-22,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,3,0,-3,,,,,,,,,0,0,3,-3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,2,0,0,2,,,,,,,,,,,,,2,0,0,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,3,3,-1
2020-03-23,,,,,,,,,0,0,0,0,,,,,0,0,1,-1,0,0,0,0,,,,,,,,,0,0,2,-2,3,0,0,3,0,0,0,0,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,1,-1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,4,1
2020-03-24,,,,,,,,,0,1,0,-1,,,,,0,0,0,0,0,3,20,-23,,,,,,,,,0,1,0,-1,1,0,1,0,0,0,1,-1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,5,22,-26
2020-03-25,,,,,,,,,0,0,0,0,,,,,0,0,1,-1,0,0,1,-1,,,,,,,,,0,0,0,0,18,0,1,17,0,2,2,-4,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,18,2,5,11
2020-03-26,1,0,0,1,,,,,0,1,0,-1,,,,,0,0,0,0,50,0,2,48,,,,,,,,,7,0,0,7,2,1,0,1,8,2,0,6,,,,,,,,,2,0,0,2,0,0,0,0,,,,,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,4,0,0,4,,,,,,,,,,,,,14,0,0,14,1,0,0,1,,,,,,,,,3,0,0,3,,,,,0,0,0,0,94,4,2,88
2020-03-27,3,0,0,3,,,,,25,0,0,25,,,,,1,0,0,1,68,6,8,54,,,,,,,,,26,0,3,23,4,0,0,4,7,0,0,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,2,0,0,2,,,,,,,,,2,0,0,2,0,0,0,0,,,,,,,,,2,0,0,2,,,,,0,0,1,-1,141,6,12,123
2020-03-28,1,0,0,1,,,,,10,1,0,9,,,,,0,0,0,0,42,9,9,24,,,,,,,,,20,1,2,17,12,2,1,9,11,0,0,11,,,,,,,,,1,0,0,1,5,0,0,5,2,0,0,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,1,3,0,0,3,1,0,0,1,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,110,13,12,85
2020-03-29,0,0,0,0,1,0,0,1,2,0,2,0,,,,,0,0,0,0,47,0,10,37,,,,,,,,,30,1,2,27,7,0,2,5,12,0,3,9,5,2,0,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,15,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,122,3,19,100
2020-03-30,0,0,0,0,9,0,0,9,22,0,0,22,,,,,1,1,0,0,26,0,7,19,,,,,1,0,0,1,23,3,0,20,14,0,1,13,1,0,1,0,1,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,-1,4,0,1,3,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,2,2,0,0,0,0,,,,,,,,,3,0,0,3,0,0,0,0,6,0,0,6,123,4,14,105
2020-03-31,0,0,0,0,0,3,0,-3,14,0,8,6,1,0,1,0,5,0,0,5,41,0,9,32,,,,,0,0,0,0,9,0,0,9,12,0,2,10,2,0,2,0,0,0,0,0,2,0,0,2,2,2,0,0,3,0,1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,0,2,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,,,,,,,,,0,0,0,0,3,0,0,3,6,0,2,4,105,6,28,71
2020-04-01,0,0,0,0,6,2,0,4,12,5,0,7,0,0,0,0,5,1,0,4,61,0,1,60,,,,,0,0,0,0,21,0,0,21,8,13,7,-12,10,5,0,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,,,0,1,0,-1,0,0,0,0,0,0,1,-1,0,0,0,0,14,0,0,14,0,0,0,0,,,,,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,144,27,9,108
2020-04-02,0,0,0,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,1,-1,72,2,6,64,,,,,0,0,0,0,20,1,4,15,0,1,2,-3,0,2,1,-3,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,-1,0,0,0,0,4,0,0,4,0,0,0,0,0,4,2,-6,0,0,1,-1,,,,,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,108,13,20,75
2020-04-03,0,0,0,0,3,0,0,3,4,0,3,1,1,0,0,1,0,0,0,0,70,3,6,61,,,,,0,0,0,0,2,1,1,0,13,4,1,8,49,0,0,49,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,6,0,0,6,0,0,0,0,2,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,0,1,5,0,0,0,0,3,0,0,3,1,0,0,1,15,0,0,15,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,186,8,14,164
2020-04-04,0,0,0,0,5,0,0,5,3,0,0,3,0,0,0,0,5,0,0,5,58,5,8,45,,,,,0,0,0,0,22,0,2,20,8,2,1,5,0,4,3,-7,0,0,0,0,0,0,0,0,0,2,0,-2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,5,2,-7,0,0,0,0,0,1,0,-1,0,0,1,-1,0,0,0,0,0,1,0,-1,3,0,1,2,108,23,18,67
