levelKerawanan,jumlah_penduduk,total,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
1,52013,38,340206,Pandak,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
1,23365,17,750102,Telaga,KAB. GORONTALO,GORONTALO
1,20687,15,757102,Kota Selatan,KOTA GORONTALO,GORONTALO
1,69063,50,647402,Bontang Selatan,KOTA BONTANG,KALIMANTAN TIMUR
1,12498,9,157104,Pasar Jambi,KOTA JAMBI,JAMBI
1,1395,1,920608,Fafurwar,KAB. TELUK BINTUNI,PAPUA BARAT
1,150156,107,327607,Cipayung,KOTA DEPOK,JAWA BARAT
1,35250,25,640903,Babulu,KAB. PENAJAM PASER UTARA,KALIMANTAN TIMUR
1,54017,38,657103,Tarakan Timur,KOTA TARAKAN,KALIMANTAN UTARA
1,35305,24,357402,Wonoasih,KOTA PROBOLINGGO,JAWA TIMUR
1,79600,54,352511,Cerme,KAB. GRESIK,JAWA TIMUR
1,7472,5,910602,Biak Utara,KAB. BIAK NUMFOR,P A P U A
1,24188,16,510202,Salamadeg Timur,KAB. TABANAN,BALI
1,242562,160,327610,Tapos,KOTA DEPOK,JAWA BARAT
1,38209,25,321502,Pangkalan,KAB. KARAWANG,JAWA BARAT
1,125508,82,350919,Kaliwates,KAB. JEMBER,JAWA TIMUR
1,44540,29,640205,Muara Badak,KAB. KUTAI KARTANEGARA,KALIMANTAN TIMUR
1,6161,4,620804,Pantai Lunci,KAB. SUKAMARA,KALIMANTAN TENGAH
1,38721,25,730507,Pattallassang,KAB. TAKALAR,SULAWESI SELATAN
1,26340,17,351217,Bungatan,KAB. SITUBONDO,JAWA TIMUR
1,47119,30,351911,Mejayan,KAB. MADIUN,JAWA TIMUR
1,74696,47,337414,Mijen,KOTA SEMARANG,JAWA TENGAH
1,39733,25,351908,Madiun,KAB. MADIUN,JAWA TIMUR
1,49679,31,337303,Argomulyo,KOTA SALATIGA,JAWA TENGAH
1,67384,42,352512,Bungah,KAB. GRESIK,JAWA TIMUR
1,46610,29,330713,Kejajar,KAB. WONOSOBO,JAWA TENGAH
1,105373,65,327507,Bantargebang,KOTA BEKASI,JAWA BARAT
1,9727,6,110211,Babul Rahmah,KAB. ACEH TENGGARA,ACEH
1,24322,15,351117,Pakem,KAB. BONDOWOSO,JAWA TIMUR
1,152430,94,737107,Tallo,KOTA MAKASSAR,SULAWESI SELATAN
1,63468,39,331821,Trangkil,KAB. PATI,JAWA TENGAH
1,21243,13,340318,Purwosari,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
1,53940,33,350405,Kauman,KAB. TULUNGAGUNG,JAWA TIMUR
1,34495,21,927102,Sorong Timur,KOTA SORONG,PAPUA BARAT
1,31690,19,137701,Pariaman Tengah,KOTA PARIAMAN,SUMATERA BARAT
1,18465,11,620610,Katingan Kuala,KAB. KATINGAN,KALIMANTAN TENGAH
1,133029,79,127109,Medan Amplas,KOTA MEDAN,SUMATERA UTARA
1,27084,16,620605,Katingan Tengah,KAB. KATINGAN,KALIMANTAN TENGAH
1,65077,38,330711,Mojotengah,KAB. WONOSOBO,JAWA TENGAH
1,161066,94,327703,Cimahi Utara,KOTA CIMAHI,JAWA BARAT
