nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
PAPUA BARAT,92,920410,Moswaren,92.04,KAB. SORONG SELATAN,2590,1,0.0003861003861003861,1
JAWA BARAT,32,327204,Warudoyong,32.72,KOTA SUKABUMI,59667,23,0.0003854727068563863,1
JAWA TIMUR,35,351611,Puri,35.16,KAB. MOJOKERTO,77851,30,0.00038535150479762626,1
JAWA BARAT,32,327405,Kesambi,32.74,KOTA CIREBON,77927,30,0.000384975682369397,1
JAWA BARAT,32,321527,Telukjambe Barat,32.15,KAB. KARAWANG,54595,21,0.00038465060903013096,1
JAWA TIMUR,35,351101,Maesan,35.11,KAB. BONDOWOSO,49407,19,0.0003845608921812699,1
JAWA TENGAH,33,330911,Ngemplak,33.09,KAB. BOYOLALI,88501,34,0.000384176449983616,1
JAWA TIMUR,35,350313,Durenan,35.03,KAB. TRENGGALEK,52066,20,0.00038412783774440136,1
JAWA BARAT,32,327902,Pataruman,32.79,KOTA BANJAR,62540,24,0.0003837543971858011,1
SUMATERA BARAT,13,130816,Simpang Alahan Mati,13.08,KAB. PASAMAN,13041,5,0.00038340618050762977,1
JAWA TENGAH,33,331303,Jumapolo,33.13,KAB. KARANGANYAR,44376,17,0.00038308995853614567,1
JAWA TIMUR,35,352409,Sekaran,35.24,KAB. LAMONGAN,44381,17,0.00038304679930600935,1
JAWA TENGAH,33,331219,Slogohimo,33.12,KAB. WONOGIRI,54863,21,0.0003827716311539653,1
JAWA BARAT,32,320411,Katapang,32.04,KAB. BANDUNG,125425,48,0.0003826988239984054,1
BENGKULU,17,170404,Kaur Tengah,17.04,KAB. KAUR,5230,2,0.0003824091778202677,1
JAWA BARAT,32,320906,Karangsembung,32.09,KAB. CIREBON,36625,14,0.00038225255972696245,1
JAWA TENGAH,33,330806,Dukun,33.08,KAB. MAGELANG,47110,18,0.000382084483124602,1
SULAWESI TENGGARA,74,740317,Duruka,74.03,KAB. MUNA,13088,5,0.00038202933985330076,1
RIAU,14,140303,Bukit Batu,14.03,KAB. BENGKALIS,20945,8,0.00038195273334924805,1
BALI,51,510206,Kediri,51.02,KAB. TABANAN,83817,32,0.00038178412493885486,1
MALUKU UTARA,82,820311,Tobelo Tengah,82.03,KAB. HALMAHERA UTARA,15720,6,0.0003816793893129771,1
JAWA TIMUR,35,350615,Purwoasri,35.06,KAB. KEDIRI,62904,24,0.00038153376573826786,1
KALIMANTAN SELATAN,63,637205,Banjarbaru Selatan,63.72,KOTA BANJARBARU,44561,17,0.00038149951751531607,1
SUMATERA UTARA,12,127120,Medan Timur,12.71,KOTA MEDAN,126067,48,0.0003807499186940278,1
JAWA TENGAH,33,332601,Kandangserang,33.26,KAB. PEKALONGAN,34247,13,0.00037959529301836656,1
JAWA TIMUR,35,351107,Curahdami,35.11,KAB. BONDOWOSO,34301,13,0.00037899769686014983,1
JAWA TENGAH,33,332209,Sumowono,33.22,KAB. SEMARANG,34359,13,0.00037835792659856227,1
JAWA TENGAH,33,330526,Karangsambung,33.05,KAB. KEBUMEN,47630,18,0.00037791307999160195,1
JAWA TIMUR,35,351912,Saradan,35.19,KAB. MADIUN,71522,27,0.00037750622186180475,1
JAWA TIMUR,35,350906,Tanggul,35.09,KAB. JEMBER,92750,35,0.0003773584905660377,1
RIAU,14,140103,Tambang,14.01,KAB. KAMPAR,68974,26,0.00037695363470293156,1
JAWA TIMUR,35,350612,Gampengrejo,35.06,KAB. KEDIRI,34519,13,0.00037660418899736377,1
SULAWESI SELATAN,73,732408,Tomoni,73.24,KAB. LUWU TIMUR,26578,10,0.0003762510346903454,1
SULAWESI SELATAN,73,731706,Walenrang,73.17,KAB. LUWU,18610,7,0.00037614185921547554,1
LAMPUNG,18,180409,Suoh,18.04,KAB. LAMPUNG BARAT,18612,7,0.0003761014399312272,1
KEPULAUAN BANGKA BELITUNG,19,197102,Taman Sari,19.71,KOTA PANGKAL PINANG,21283,8,0.00037588685805572524,1
RIAU,14,140905,Cerenti,14.09,KAB. KUANTAN SINGINGI,15970,6,0.0003757044458359424,1
SUMATERA BARAT,13,130410,Salimpauang,13.04,KAB. TANAH DATAR,23957,9,0.00037567308093667824,1
JAWA BARAT,32,320234,Kebonpedes,32.02,KAB. SUKABUMI,31982,12,0.00037521105621912324,1
SULAWESI UTARA,71,710522,Motoling Timur,71.05,KAB. MINAHASA SELATAN,10666,4,0.0003750234389649353,1
LAMPUNG,18,180201,Kalirejo,18.02,KAB. LAMPUNG TENGAH,77366,29,0.0003748416617118631,1
SUMATERA BARAT,13,130506,V Koto Kampung Dalam,13.05,KAB. PADANG PARIAMAN,24035,9,0.0003744539213646765,1
JAWA TENGAH,33,330804,Salam,33.08,KAB. MAGELANG,48149,18,0.00037383953976198884,1
LAMPUNG,18,187106,Tanjungkarang Pusat,18.71,KOTA BANDAR LAMPUNG,58859,22,0.0003737746139078136,1
SULAWESI SELATAN,73,737303,Wara Selatan,73.73,KOTA PALOPO,16055,6,0.0003737153534724385,1
SULAWESI SELATAN,73,731204,Lalabata,73.12,KAB. SOPPENG,48220,18,0.0003732890916632103,1
JAWA TENGAH,33,332103,Guntur,33.21,KAB. DEMAK,83090,31,0.00037308942110964017,1
JAWA TIMUR,35,352507,Ujungpangkah,35.25,KAB. GRESIK,50963,19,0.00037281949649745896,1
KALIMANTAN SELATAN,63,630509,Bungur,63.05,KAB. TAPIN,13427,5,0.0003723840023832576,1
SUMATERA UTARA,12,127204,Siantar Selatan,12.72,KOTA PEMATANGSIANTAR,18799,7,0.00037236023192723015,1
JAWA TIMUR,35,357702,Manguharjo,35.77,KOTA MADIUN,61802,23,0.0003721562408983528,1
JAWA TIMUR,35,352503,Panceng,35.25,KAB. GRESIK,51063,19,0.00037208937978575485,1
JAWA TENGAH,33,330219,Sokaraja,33.02,KAB. BANYUMAS,88756,33,0.00037180584974536935,1
SULAWESI SELATAN,73,731301,Sabangparu,73.13,KAB. WAJO,24214,9,0.0003716858016023788,1
BANTEN,36,360329,Sindang Jaya,36.03,KAB. TANGERANG,80991,30,0.0003704115272067267,1
JAWA BARAT,32,320135,Sukajaya,32.01,KAB. BOGOR,59474,22,0.0003699095403033258,1
KEPULAUAN BANGKA BELITUNG,19,190103,Merawang,19.01,KAB. BANGKA,29743,11,0.00036983491914063815,1
SUMATERA SELATAN,16,160302,Muara Enim,16.03,KAB. MUARA ENIM,70307,26,0.0003698067048800262,1
LAMPUNG,18,187201,Metro Pusat,18.72,KOTA METRO,54091,20,0.00036974727773566766,1
JAWA TENGAH,33,332006,Jepara,33.20,KAB. JEPARA,81182,30,0.00036954004582296566,1
JAWA TIMUR,35,350205,Sawoo,35.02,KAB. PONOROGO,62328,23,0.0003690155307405981,1
JAWA TENGAH,33,330518,Sempor,33.05,KAB. KEBUMEN,70495,26,0.0003688204837222498,1
BALI,51,510208,Penebel,51.02,KAB. TABANAN,51532,19,0.0003687029418613677,1
JAWA TIMUR,35,351009,Genteng,35.10,KAB. BANYUWANGI,94928,35,0.0003687004887915051,1
JAWA TENGAH,33,330208,Tambak,33.02,KAB. BANYUMAS,51542,19,0.00036863140739591015,1
BANTEN,36,367303,Walantaka,36.73,KOTA SERANG,92234,34,0.00036862762105080557,1
JAWA TENGAH,33,331002,Gantiwarno,33.10,KAB. KLATEN,40696,15,0.00036858659327698056,1
JAWA TIMUR,35,350611,Pagu,35.06,KAB. KEDIRI,40723,15,0.00036834221447339344,1
BANTEN,36,367306,Taktakan,36.73,KOTA SERANG,92361,34,0.0003681207436039021,1
JAWA BARAT,32,321709,Batujajar,32.17,KAB. BANDUNG BARAT,100657,37,0.00036758496676833207,1
JAWA TENGAH,33,330306,Kalimanah,33.03,KAB. PURBALINGGA,57175,21,0.00036729339746392655,1
JAWA TENGAH,33,330213,Purwojati,33.02,KAB. BANYUMAS,38127,14,0.0003671938521257901,1
JAWA TIMUR,35,351114,Klabang,35.11,KAB. BONDOWOSO,19064,7,0.0003671842215694503,1
SUMATERA BARAT,13,130804,Bonjol,13.08,KAB. PASAMAN,27249,10,0.000366985944438328,1
JAWA TIMUR,35,351314,Kraksaan,35.13,KAB. PROBOLINGGO,68152,25,0.00036682709238173493,1
JAWA TENGAH,33,337103,Magelang Tengah,33.71,KOTA MAGELANG,49077,18,0.00036677058499908307,1
SUMATERA BARAT,13,130209,IX Koto Sungai Lasi,13.02,KAB. SOLOK,10913,4,0.00036653532484193165,1
SULAWESI SELATAN,73,731813,Sangalla,73.18,KAB. TANA TORAJA,8199,3,0.00036589828027808267,1
PAPUA BARAT,92,927105,Sorong Utara,92.71,KOTA SORONG,35538,13,0.0003658056165231583,1
JAWA TENGAH,33,332004,Mayong,33.20,KAB. JEPARA,90264,33,0.00036559425684658335,1
KALIMANTAN UTARA,65,650404,Betayau,65.04,KAB. TANA TIDUNG,2736,1,0.0003654970760233918,1
GORONTALO,75,757108,Dumbo Raya,75.71,KOTA GORONTALO,19157,7,0.0003654016808477319,1
JAWA BARAT,32,320916,Dukupuntang,32.09,KAB. CIREBON,62951,23,0.00036536353671903543,1
JAWA TIMUR,35,350606,Wates,35.06,KAB. KEDIRI,93139,34,0.0003650457917735857,1
SULAWESI SELATAN,73,732409,Tomoni Timur,73.24,KAB. LUWU TIMUR,13699,5,0.0003649901452660778,1
SULAWESI UTARA,71,710605,Dimembe,71.06,KAB. MINAHASA UTARA,27398,10,0.0003649901452660778,1
KALIMANTAN BARAT,61,617105,Pontianak Kota,61.71,KOTA PONTIANAK,126155,46,0.00036463081130355516,1
SUMATERA SELATAN,16,167403,Cambai,16.74,KOTA PRABUMULIH,19205,7,0.00036448841447539703,1
JAWA TENGAH,33,331203,Giriwoyo,33.12,KAB. WONOGIRI,41216,15,0.0003639363354037267,1
KEPULAUAN BANGKA BELITUNG,19,190401,Koba,19.04,KAB. BANGKA TENGAH,41251,15,0.0003636275484230685,1
JAWA TIMUR,35,351016,Banyuwangi,35.10,KAB. BANYUWANGI,121258,44,0.0003628626564845206,1
DAERAH ISTIMEWA YOGYAKARTA,34,340104,Galur,34.01,KAB. KULON PROGO,33073,12,0.00036283373144256647,1
NUSA TENGGARA BARAT,52,520408,Sumbawa,52.04,KAB. SUMBAWA,63423,23,0.00036264446651845545,1
RIAU,14,140703,Tanah Putih,14.07,KAB. ROKAN HILIR,68968,25,0.0003624869504697831,1
ACEH,11,110420,Bies,11.04,KAB. ACEH TENGAH,8278,3,0.000362406378352259,1
SULAWESI SELATAN,73,730404,Batang,73.04,KAB. JENEPONTO,22086,8,0.0003622204111201666,1
GORONTALO,75,750311,Suwawa Timur,75.03,KAB. BONE BOLANGO,5522,2,0.0003621876131836291,1
KEPULAUAN BANGKA BELITUNG,19,197104,Rangkui,19.71,KOTA PANGKAL PINANG,38724,14,0.00036153289949385393,1
RIAU,14,140803,Minas,14.08,KAB. SIAK,27672,10,0.0003613761202659728,1
KALIMANTAN TENGAH,62,620505,Teweh Tengah,62.05,KAB. BARITO UTARA,58126,21,0.00036128410694009563,1
SUMATERA SELATAN,16,160308,Semende Darat Laut,16.03,KAB. MUARA ENIM,13855,5,0.00036088054853843375,1
SULAWESI TENGAH,72,720605,Bungku Tengah,72.06,KAB. MOROWALI,27741,10,0.0003604772719080062,1
JAWA TIMUR,35,351608,Mojosari,35.16,KAB. MOJOKERTO,80513,29,0.00036019027983058636,1
ACEH,11,110203,Bambel,11.02,KAB. ACEH TENGGARA,19440,7,0.000360082304526749,1
SULAWESI UTARA,71,710213,Pineleng,71.02,KAB. MINAHASA,27813,10,0.00035954409808363,1
RIAU,14,141001,Tebing Tinggi,14.10,KAB. KEPULAUAN MERANTI,66831,24,0.00035911478206221664,1
JAWA TIMUR,35,357405,Kedopok,35.74,KOTA PROBOLINGGO,36239,13,0.0003587295455172604,1
BANTEN,36,367203,Pulomerak,36.72,KOTA CILEGON,47517,17,0.0003577666940252962,1
JAWA TENGAH,33,332207,Banyubiru,33.22,KAB. SEMARANG,44736,16,0.000357653791130186,1
KALIMANTAN BARAT,61,610605,Bunut Hilir,61.06,KAB. KAPUAS HULU,8393,3,0.00035744072441320146,1
JAWA TENGAH,33,331805,Pucakwangi,33.18,KAB. PATI,47584,17,0.00035726294552790853,1
JAWA BARAT,32,321412,Babakancikao,32.14,KAB. PURWAKARTA,55984,20,0.00035724492712203485,1
JAWA TIMUR,35,350718,Pakis,35.07,KAB. MALANG,139964,50,0.0003572347174987854,1
JAWA TENGAH,33,330703,Sapuran,33.07,KAB. WONOSOBO,61586,22,0.0003572240444256812,1
JAWA TENGAH,33,337203,Pasar Kliwon,33.72,KOTA SURAKARTA,86890,31,0.0003567729312924387,1
JAWA TENGAH,33,332510,Tulis,33.25,KAB. BATANG,39256,14,0.0003566333808844508,1
JAWA TIMUR,35,351511,Krian,35.15,KAB. SIDOARJO,123470,44,0.00035636186927998705,1
SULAWESI UTARA,71,717102,Tuminiting,71.71,KOTA MANADO,56123,20,0.00035636013755501307,1
SULAWESI TENGGARA,74,740604,Rumbia,74.06,KAB. BOMBANA,11225,4,0.00035634743875278396,1
JAWA TENGAH,33,331701,Sumber,33.17,KAB. REMBANG,36559,13,0.00035558959490139227,1
KALIMANTAN SELATAN,63,630504,Tapin Utara,63.05,KAB. TAPIN,25337,9,0.0003552117456683901,1
JAWA TENGAH,33,331315,Mojogedang,33.13,KAB. KARANGANYAR,70623,25,0.00035399232544638433,1
JAWA TIMUR,35,350413,Rejotangan,35.04,KAB. TULUNGAGUNG,81979,29,0.00035374913087498017,1
JAWA TIMUR,35,350715,Tajinan,35.07,KAB. MALANG,53714,19,0.00035372528577279664,1
PAPUA,91,910304,Sentani Barat,91.03,KAB. JAYAPURA,5656,2,0.0003536067892503536,1
JAWA TENGAH,33,330524,Padureso,33.05,KAB. KEBUMEN,16969,6,0.00035358595085155283,1
JAWA TENGAH,33,331013,Karangdowo,33.10,KAB. KLATEN,45256,16,0.00035354428142124803,1
SUMATERA BARAT,13,137301,Lembah Segar,13.73,KOTA SAWAHLUNTO,14143,5,0.0003535317825072474,1
SULAWESI UTARA,71,717204,Aertembaga,71.72,KOTA BITUNG,31132,11,0.0003533341899010664,1
JAWA TIMUR,35,352013,Karangrejo,35.20,KAB. MAGETAN,25515,9,0.0003527336860670194,1
JAWA BARAT,32,321506,Rengasdengklok,32.15,KAB. KARAWANG,108042,38,0.0003517150737676089,1
JAWA TIMUR,35,357701,Kartoharjo,35.77,KOTA MADIUN,57041,20,0.0003506249890429691,1
JAWA TENGAH,33,330410,Wanadadi,33.04,KAB. BANJARNEGARA,34236,12,0.0003505082369435682,1
JAWA BARAT,32,320222,Ciemas,32.02,KAB. SUKABUMI,51361,18,0.0003504604661124199,1
JAWA TIMUR,35,352407,Brondong,35.24,KAB. LAMONGAN,74241,26,0.000350210799962285,1
SULAWESI TENGGARA,74,740114,Latambaga,74.01,KAB. KOLAKA,31413,11,0.00035017349504982016,1
SULAWESI UTARA,71,717206,Girian,71.72,KOTA BITUNG,37151,13,0.0003499232860488278,1
JAWA TENGAH,33,330212,Patikraja,33.02,KAB. BANYUMAS,60042,21,0.00034975517138003396,1
JAWA TENGAH,33,332814,Tarub,33.28,KAB. TEGAL,85872,30,0.000349357182783678,1
JAWA TENGAH,33,330211,Banyumas,33.02,KAB. BANYUMAS,54395,19,0.00034929681036860005,1
JAWA TIMUR,35,351701,Perak,35.17,KAB. JOMBANG,57363,20,0.00034865679967923573,1
JAWA BARAT,32,320413,Banjaran,32.04,KAB. BANDUNG,131935,46,0.00034865653541516655,1
JAWA TENGAH,33,330221,Sumbang,33.02,KAB. BANYUMAS,91922,32,0.0003481212332194687,1
GORONTALO,75,750403,Randangan,75.04,KAB. PAHUWATO,17239,6,0.0003480480306282267,1
JAWA TIMUR,35,351017,Giri,35.10,KAB. BANYUWANGI,31610,11,0.0003479911420436571,1
JAWA BARAT,32,320812,Jalaksana,32.08,KAB. KUNINGAN,48864,17,0.00034790438768827765,1
JAWA TIMUR,35,352002,Parang,35.20,KAB. MAGETAN,46014,16,0.000347720259051593,1
JAWA TIMUR,35,352402,Bluluk,35.24,KAB. LAMONGAN,23008,8,0.0003477051460361613,1
BANTEN,36,360418,Binuang,36.04,KAB. SERANG,28773,10,0.0003475480485177076,1
RIAU,14,141002,Rangsang Barat,14.10,KAB. KEPULAUAN MERANTI,20171,7,0.0003470328689703039,1
SUMATERA SELATAN,16,160710,Talang Kelapa,16.07,KAB. BANYUASIN,141231,49,0.00034694932415687776,1
JAWA BARAT,32,321714,Sindangkerta,32.17,KAB. BANDUNG BARAT,66398,23,0.00034639597578240306,1
LAMPUNG,18,181005,Pagelaran,18.10,KAB. PRINGSEWU,51964,18,0.0003463936571472558,1
JAWA TIMUR,35,352301,Kenduruan,35.23,KAB. TUBAN,28874,10,0.0003463323405139572,1
SUMATERA SELATAN,16,161012,Sungai Pinang,16.10,KAB. OGAN ILIR,26009,9,0.0003460340651313007,1
JAWA BARAT,32,321321,Legonkulon,32.13,KAB. SUBANG,23128,8,0.0003459010722933241,1
SULAWESI UTARA,71,710609,Talawaan,71.06,KAB. MINAHASA UTARA,20277,7,0.00034521872071805495,1
RIAU,14,140602,Rokan IV Koto,14.06,KAB. ROKAN HULU,23195,8,0.00034490191851692175,1
BANTEN,36,360330,Sepatan Timur,36.03,KAB. TANGERANG,86987,30,0.0003448791198684861,1
JAWA TENGAH,33,330902,Ampel,33.09,KAB. BOYOLALI,40599,14,0.0003448360797063967,1
BALI,51,510602,Bangli,51.06,KAB. BANGLI,55106,19,0.00034479004101186804,1
KALIMANTAN UTARA,65,650110,Bunyu,65.01,KAB. BULUNGAN,11604,4,0.0003447087211306446,1
JAWA TIMUR,35,350902,Kencong,35.09,KAB. JEMBER,72634,25,0.00034419142550320785,1
KEPULAUAN RIAU,21,210104,Gunung Kijang,21.01,KAB. BINTAN,14532,5,0.00034406826314340767,1
JAWA TIMUR,35,351201,Jatibanteng,35.12,KAB. SITUBONDO,23256,8,0.0003439972480220158,1
JAWA BARAT,32,320235,Cireunghas,32.02,KAB. SUKABUMI,34925,12,0.0003435934144595562,1
JAWA BARAT,32,321403,Jatiluhur,32.14,KAB. PURWAKARTA,69938,24,0.00034316108553290056,1
SUMATERA BARAT,13,137502,Mandiangin K. Selayan,13.75,KOTA BUKITTINGGI,52464,18,0.00034309240622140897,1
KALIMANTAN TIMUR,64,640801,Muara Ancalong,64.08,KAB. KUTAI TIMUR,14574,5,0.00034307671195279267,1
JAWA TENGAH,33,330705,Leksono,33.07,KAB. WONOSOBO,46638,16,0.00034306788455765684,1
SUMATERA BARAT,13,130805,Lubuk Sikaping,13.08,KAB. PASAMAN,52472,18,0.00034304009757585,1
JAWA BARAT,32,321119,Ganeas,32.11,KAB. SUMEDANG,26258,9,0.0003427526848960317,1
KALIMANTAN BARAT,61,610603,Embaloh Hilir,61.06,KAB. KAPUAS HULU,5837,2,0.00034264176803152307,1
KALIMANTAN UTARA,65,650104,Tanjung Palas Timur,65.01,KAB. BULUNGAN,14598,5,0.00034251267296889985,1
MALUKU UTARA,82,820101,Jailolo,82.01,KAB. HALMAHERA BARAT,35052,12,0.00034234851078397807,1
JAWA BARAT,32,321701,Lembang,32.17,KAB. BANDUNG BARAT,184355,63,0.00034173198448645277,1
SUMATERA UTARA,12,127118,Medan Perjuangan,12.71,KOTA MEDAN,114199,39,0.00034150912004483403,1
JAWA TENGAH,33,332901,Salem,33.29,KAB. BREBES,61546,21,0.00034120820199525555,1
JAWA TENGAH,33,332905,Sirampog,33.29,KAB. BREBES,67441,23,0.00034103883394374343,1
BALI,51,510807,Sawan,51.08,KAB. BULELENG,85151,29,0.00034057145541449893,1
SULAWESI SELATAN,73,737306,Wara Barat,73.73,KOTA PALOPO,11746,4,0.00034054146092286734,1
JAWA BARAT,32,320825,Cilebak,32.08,KAB. KUNINGAN,11753,4,0.00034033863694375905,1
JAWA TIMUR,35,357103,Pesantren,35.71,KOTA KEDIRI,91129,31,0.00034017711156711914,1
JAWA TENGAH,33,332412,Weleri,33.24,KAB. KENDAL,61740,21,0.0003401360544217687,1
JAWA TENGAH,33,330404,Purwanegara,33.04,KAB. BANJARNEGARA,82355,28,0.0003399915002124947,1
JAWA TENGAH,33,330607,Banyuurip,33.06,KAB. PURWOREJO,44122,15,0.00033996645664294457,1
NUSA TENGGARA TIMUR,53,530603,Larantuka,53.06,KAB. FLORES TIMUR,41200,14,0.00033980582524271844,1
BENGKULU,17,170902,Talang Empat,17.09,KAB. BENGKULU TENGAH,11772,4,0.0003397893306150187,1
BANTEN,36,360331,Solear,36.03,KAB. TANGERANG,79600,27,0.00033919597989949746,1
KALIMANTAN BARAT,61,617103,Pontianak Barat,61.71,KOTA PONTIANAK,150451,51,0.0003389807977348107,1
MALUKU,81,810402,Air Buaya,81.04,KAB. BURU,11808,4,0.00033875338753387534,1
JAWA TENGAH,33,331713,Sluke,33.17,KAB. REMBANG,29536,10,0.00033856988082340195,1
JAWA TENGAH,33,332108,Gajah,33.21,KAB. DEMAK,50260,17,0.00033824114604058894,1
KALIMANTAN BARAT,61,610110,Subah,61.01,KAB. SAMBAS,23681,8,0.00033782357163971116,1
KALIMANTAN BARAT,61,610416,Delta Pawan,61.04,KAB. KETAPANG,91835,31,0.00033756193172537703,1
JAWA BARAT,32,320933,Pabuaran,32.09,KAB. CIREBON,35558,12,0.00033747679847010516,1
JAWA BARAT,32,327402,Lemah Wungkuk,32.74,KOTA CIREBON,59303,20,0.000337251066556498,1
DAERAH ISTIMEWA YOGYAKARTA,34,340105,Lendah,34.01,KAB. KULON PROGO,41532,14,0.0003370894731773091,1
JAWA TIMUR,35,351205,Kendit,35.12,KAB. SITUBONDO,29666,10,0.0003370862266567788,1
SULAWESI SELATAN,73,731611,Masalle,73.16,KAB. ENREKANG,14834,5,0.00033706350276392074,1
JAWA TIMUR,35,351109,Wonosari,35.11,KAB. BONDOWOSO,41538,14,0.0003370407819346141,1
SULAWESI TENGAH,72,720207,Lore Utara,72.02,KAB. POSO,14840,5,0.00033692722371967657,1
SUMATERA SELATAN,16,167112,Gandus,16.71,KOTA PALEMBANG,68315,23,0.0003366756934787382,1
JAWA TENGAH,33,332810,Slawi,33.28,KAB. TEGAL,77349,26,0.0003361387994673493,1
SULAWESI TENGAH,72,727103,Palu Selatan,72.71,KOTA PALU,71471,24,0.00033580053448251736,1
KALIMANTAN UTARA,65,650213,Malinau Selatan Hilir,65.02,KAB. MALINAU,2980,1,0.0003355704697986577,1
JAWA BARAT,32,320210,Cikembar,32.02,KAB. SUKABUMI,86443,29,0.0003354811841328968,1
KALIMANTAN TIMUR,64,640811,Sandaran,64.08,KAB. KUTAI TIMUR,11926,4,0.000335401643468053,1
KALIMANTAN TIMUR,64,640814,Rantau Pulung,64.08,KAB. KUTAI TIMUR,11927,4,0.00033537352226041756,1
JAWA TENGAH,33,332110,Mijen,33.21,KAB. DEMAK,56655,19,0.0003353631630041479,1
JAWA TIMUR,35,350622,Banyakan,35.06,KAB. KEDIRI,59673,20,0.00033515995508856604,1
JAWA TIMUR,35,352419,Kembangbahu,35.24,KAB. LAMONGAN,50729,17,0.00033511403733564626,1
NUSA TENGGARA BARAT,52,520801,Tanjung,52.08,KAB. LOMBOK UTARA,53735,18,0.00033497720294035547,1
JAWA TIMUR,35,350607,Ngancar,35.06,KAB. KEDIRI,50753,17,0.0003349555691289185,1
SULAWESI SELATAN,73,730903,Bantimurung,73.09,KAB. MAROS,32841,11,0.0003349471696964161,1
JAWA BARAT,32,320932,Pasaleman,32.09,KAB. CIREBON,26886,9,0.0003347467083240348,1
JAWA TIMUR,35,350927,Kalisat,35.09,KAB. JEMBER,80667,27,0.00033470936070512103,1
MALUKU UTARA,82,820310,Tobelo Utara,82.03,KAB. HALMAHERA UTARA,11952,4,0.00033467202141900936,1
JAWA BARAT,32,321110,Buahdua,32.11,KAB. SUMEDANG,32874,11,0.00033461093873577905,1
JAWA TIMUR,35,351807,Ngronggot,35.18,KAB. NGANJUK,83709,28,0.0003344921095700582,1
ACEH,11,110607,Darul Imarah,11.06,KAB. ACEH BESAR,53825,18,0.0003344170924291686,1
SUMATERA UTARA,12,120211,Parmonangan,12.02,KAB. TAPANULI UTARA,14952,5,0.00033440342429106473,1
JAWA TENGAH,33,330910,Sambi,33.09,KAB. BOYOLALI,47865,16,0.0003342734774887705,1
JAWA BARAT,32,320914,Talun,32.09,KAB. CIREBON,65854,22,0.00033407234184711635,1
LAMPUNG,18,187108,Telukbetung Barat,18.71,KOTA BANDAR LAMPUNG,38945,13,0.0003338040826807036,1
JAWA TENGAH,33,330615,Loano,33.06,KAB. PURWOREJO,38954,13,0.0003337269600041074,1
JAWA BARAT,32,320938,Greged,32.09,KAB. CIREBON,53975,18,0.000333487725798981,1
JAWA BARAT,32,321123,Cisarua,32.11,KAB. SUMEDANG,20992,7,0.00033346036585365856,1
SUMATERA BARAT,13,137503,Aur Birugo Tigo Baleh,13.75,KOTA BUKITTINGGI,26996,9,0.00033338272336642466,1
JAWA BARAT,32,321704,Cikalongwetan,32.17,KAB. BANDUNG BARAT,117093,39,0.0003330685865081602,1
SULAWESI SELATAN,73,730408,Turatea,73.04,KAB. JENEPONTO,36069,12,0.000332695666638942,1
JAWA TENGAH,33,331302,Jatiyoso,33.13,KAB. KARANGANYAR,42085,14,0.00033266009266959723,1
JAWA BARAT,32,321303,Subang,32.13,KAB. SUBANG,135467,45,0.00033218422198764275,1
JAWA BARAT,32,321326,Kasomalang,32.13,KAB. SUBANG,42153,14,0.0003321234550328565,1
KALIMANTAN TENGAH,62,621204,Permata Intan,62.12,KAB. MURUNG RAYA,12062,4,0.000331619963521804,1
ACEH,11,110608,Peukan Bada,11.06,KAB. ACEH BESAR,21113,7,0.0003315492824326244,1
JAWA TENGAH,33,331401,Kalijambe,33.14,KAB. SRAGEN,54314,18,0.00033140626726074307,1
JAWA BARAT,32,320301,Cianjur,32.03,KAB. CIANJUR,169124,56,0.0003311179962630969,1
JAWA TIMUR,35,351901,Kebon Sari,35.19,KAB. MADIUN,60403,20,0.00033110938198433853,1
SUMATERA BARAT,13,130612,Sungai Pua,13.06,KAB. AGAM,27187,9,0.0003310405708610733,1
JAWA BARAT,32,320901,Waled,32.09,KAB. CIREBON,54407,18,0.0003308397816457441,1
KALIMANTAN TIMUR,64,640203,Loa Janan,64.02,KAB. KUTAI KARTANEGARA,66566,22,0.000330499053570892,1
JAWA TIMUR,35,351414,Bangil,35.14,KAB. PASURUAN,84745,28,0.00033040297362676264,1
JAWA TIMUR,35,350908,Puger,35.09,KAB. JEMBER,124108,41,0.00033035743062493955,1
MALUKU UTARA,82,820306,Tobelo Selatan,82.03,KAB. HALMAHERA UTARA,15140,5,0.00033025099075297226,1
LAMPUNG,18,187204,Metro Timur,18.72,KOTA METRO,39370,13,0.0003302006604013208,1
SULAWESI UTARA,71,710610,Likupang Selatan,71.06,KAB. MINAHASA UTARA,6058,2,0.0003301419610432486,1
BALI,51,510603,Tembuku,51.06,KAB. BANGLI,45464,15,0.000329931374274151,1
JAWA TENGAH,33,332202,Tengaran,33.22,KAB. SEMARANG,69730,23,0.00032984368277642336,1
JAWA TIMUR,35,350928,Ledokombo,35.09,KAB. JEMBER,69907,23,0.00032900853991731874,1
ACEH,11,110213,Deleng Pokhkisen,11.02,KAB. ACEH TENGGARA,9137,3,0.0003283353398270767,1
JAWA TIMUR,35,351506,Tanggulangin,35.15,KAB. SIDOARJO,85332,28,0.0003281301270332349,1
SULAWESI SELATAN,73,731206,Donri Donri,73.12,KAB. SOPPENG,24393,8,0.00032796294018775876,1
KEPULAUAN RIAU,21,210210,Meral Barat,21.02,KAB. KARIMUN,15255,5,0.00032776138970829236,1
