nama_provinsi,kode_provinsi,kode_kecamatan,nama_kecamatan,kode_kabupatenkota,nama_kabupatenkota,jumlah_penduduk,total,density,level_kerawanan
DAERAH ISTIMEWA YOGYAKARTA,34,347103,Gondokusuman,34.71,KOTA YOGYAKARTA,42818,100,0.00233546639263861,2
DKI JAKARTA,31,317203,Koja,31.72,KOTA ADM. JAKARTA UTARA,344168,797,0.0023157295274400876,2
PAPUA,91,910301,Sentani,91.03,KAB. JAYAPURA,75437,174,0.0023065604411628246,2
JAWA TIMUR,35,352514,Kebomas,35.25,KAB. GRESIK,108426,249,0.0022964971501300427,2
MALUKU UTARA,82,820610,Kota Maba,82.06,KAB. HALMAHERA TIMUR,10891,25,0.0022954733265999447,2
DKI JAKARTA,31,317206,Kelapa Gading,31.72,KOTA ADM. JAKARTA UTARA,142815,327,0.0022896754542590064,2
JAWA BARAT,32,327501,Bekasi Timur,32.75,KOTA BEKASI,271422,603,0.002221632734266198,2
BANTEN,36,367404,Ciputat,36.74,KOTA TANGERANG SELATAN,200960,446,0.0022193471337579617,2
DKI JAKARTA,31,317503,Jatinegara,31.75,KOTA ADM. JAKARTA TIMUR,326125,722,0.002213875047911077,2
DKI JAKARTA,31,317108,Johar Baru,31.71,KOTA ADM. JAKARTA PUSAT,145793,322,0.002208610838654805,2
PAPUA,91,917103,Abepura,91.71,KOTA JAYAPURA,128282,283,0.002206077236089241,2
DAERAH ISTIMEWA YOGYAKARTA,34,340412,Ngaglik,34.04,KAB. SLEMAN,96996,213,0.0021959668439935666,2
JAWA TIMUR,35,357803,Rungkut,35.78,KOTA SURABAYA,115676,252,0.0021784985649572946,2
PAPUA BARAT,92,920518,Kota Waisai,92.05,KAB. RAJA AMPAT,21174,46,0.002172475677717956,2
DAERAH ISTIMEWA YOGYAKARTA,34,340406,Mlati,34.04,KAB. SLEMAN,92083,200,0.0021719535636328096,2
JAWA BARAT,32,327503,Bekasi Utara,32.75,KOTA BEKASI,329949,714,0.0021639707954865754,2
BANTEN,36,367401,Serpong,36.74,KOTA TANGERANG SELATAN,145654,315,0.0021626594532247654,2
NUSA TENGGARA BARAT,52,527102,Mataram,52.71,KOTA MATARAM,78286,169,0.002158751245433411,2
PAPUA,91,910511,Wonawa,91.05,KAB. KEPULAUAN YAPEN,2788,6,0.002152080344332855,2
KALIMANTAN TENGAH,62,627105,Rakumpit,62.71,KOTA PALANGKARAYA,3255,7,0.002150537634408602,2
DKI JAKARTA,31,317507,Duren Sawit,31.75,KOTA ADM. JAKARTA TIMUR,439936,945,0.002148039714867617,2
DKI JAKARTA,31,317401,Tebet,31.74,KOTA ADM. JAKARTA SELATAN,242754,521,0.002146205623800226,2
JAWA TIMUR,35,357901,Batu,35.79,KOTA BATU,97249,207,0.002128556591841561,2
DKI JAKARTA,31,317410,Pesanggrahan,31.74,KOTA ADM. JAKARTA SELATAN,259614,544,0.002095418582973183,2
BANTEN,36,367106,Ciledug,36.71,KOTA TANGERANG,136525,285,0.0020875297564548617,2
GORONTALO,75,750207,Paguyaman Pantai,75.02,KAB. BOALEMO,8641,18,0.0020830922346950585,2
SUMATERA SELATAN,16,167106,Ilir Timur II,16.71,KOTA PALEMBANG,85015,177,0.0020819855319649475,2
DKI JAKARTA,31,317407,Kebayoran Baru,31.74,KOTA ADM. JAKARTA SELATAN,156933,326,0.0020773196204749798,2
JAWA TENGAH,33,337401,Semarang Tengah,33.74,KOTA SEMARANG,62854,130,0.0020682852324434404,2
DKI JAKARTA,31,317510,Cipayung,31.75,KOTA ADM. JAKARTA TIMUR,283204,582,0.0020550557195519836,2
JAWA TIMUR,35,357801,Karangpilang,35.78,KOTA SURABAYA,73534,151,0.0020534718633557266,2
BANTEN,36,367111,Pinang,36.71,KOTA TANGERANG,168477,345,0.0020477572606349827,2
JAWA BARAT,32,320107,Cileungsi,32.01,KAB. BOGOR,235290,478,0.002031535551872158,2
SULAWESI TENGAH,72,721201,Petasia,72.12,KAB. MOROWALI UTARA,17776,36,0.0020252025202520253,2
JAWA BARAT,32,321607,Cibitung,32.16,KAB. BEKASI,203412,410,0.0020156136314475057,2
KALIMANTAN UTARA,65,650210,Kayan Selatan,65.02,KAB. MALINAU,1986,4,0.002014098690835851,2
JAWA TIMUR,35,357814,Tandes,35.78,KOTA SURABAYA,91442,183,0.0020012685636797097,2
JAWA TIMUR,35,357831,Sambikerep,35.78,KOTA SURABAYA,64025,128,0.0019992190550566185,2
JAWA TIMUR,35,357821,Dukuh Pakis,35.78,KOTA SURABAYA,59329,118,0.0019889093023647796,2
PAPUA,91,910904,Mimika Barat,91.09,KAB. MIMIKA,2520,5,0.001984126984126984,2
JAWA TIMUR,35,357815,Krembangan,35.78,KOTA SURABAYA,114995,227,0.0019739988695160657,2
DKI JAKARTA,31,317307,Pal Merah,31.73,KOTA ADM. JAKARTA BARAT,231882,457,0.0019708299911161712,2
DAERAH ISTIMEWA YOGYAKARTA,34,340309,Karangmojo,34.03,KAB. GUNUNGKIDUL,56866,112,0.001969542433088313,2
KALIMANTAN TIMUR,64,647105,Balikpapan Selatan,64.71,KOTA BALIKPAPAN,140597,276,0.0019630575332332837,2
DKI JAKARTA,31,317302,Grogol Petamburan,31.73,KOTA ADM. JAKARTA BARAT,240955,469,0.001946421530991264,2
JAWA BARAT,32,327316,Kiaracondong,32.73,KOTA BANDUNG,130075,252,0.0019373438400922544,2
JAWA TIMUR,35,357830,Pakal,35.78,KOTA SURABAYA,56523,109,0.0019284185198945561,2
