tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
2020-05-21,1206,25,252,2,61,0,893,23
2020-05-22,1223,17,252,0,61,0,910,17
2020-05-23,1277,54,252,0,61,0,964,54
2020-05-24,1298,21,256,4,61,0,981,17
2020-05-25,1300,2,257,1,61,0,982,1
2020-05-26,1304,4,272,15,61,0,971,-11
2020-05-27,1315,11,272,0,61,0,982,11
2020-05-28,1325,10,272,0,61,0,992,10
2020-05-29,1339,14,331,59,61,0,947,-45
2020-05-30,1355,16,351,20,61,0,943,-4
2020-05-31,1392,37,357,6,61,0,974,31
2020-06-01,1406,14,366,9,61,0,979,5
2020-06-02,1421,15,367,1,61,0,993,14
2020-06-03,1443,22,368,1,62,1,1013,20
2020-06-04,1467,24,369,1,62,0,1036,23
2020-06-05,1525,58,404,35,68,6,1053,17
2020-06-06,1552,27,406,2,68,0,1078,25
2020-06-07,1603,51,416,10,90,22,1097,19
2020-06-08,1630,27,449,33,90,0,1091,-6
2020-06-09,1662,32,530,81,95,5,1037,-54
2020-06-10,1801,139,647,117,95,0,1059,22
2020-06-11,1820,19,652,5,95,0,1073,14
2020-06-12,1864,44,699,47,95,0,1070,-3
2020-06-13,1934,70,727,28,95,0,1112,42
2020-06-14,2047,113,752,25,96,1,1199,87
2020-06-15,2163,116,792,40,113,17,1258,59
2020-06-16,2219,56,811,19,113,0,1295,37
2020-06-17,2334,115,874,63,113,0,1347,52
2020-06-18,2379,45,895,21,122,9,1362,15
2020-06-19,2459,80,915,20,135,13,1409,47
2020-06-20,2557,98,939,24,135,0,1483,74
2020-06-21,2656,99,967,28,135,0,1554,71
2020-06-22,2705,49,993,26,136,1,1576,22
2020-06-23,2754,49,1037,44,140,4,1577,1
2020-06-24,2830,76,1049,12,142,2,1639,62
2020-06-25,2908,78,1049,0,142,0,1717,78
2020-06-26,3086,178,1049,0,142,0,1895,178
2020-06-27,3283,197,1067,18,142,0,2074,179
2020-06-28,3471,188,1078,11,142,0,2251,177
2020-06-29,3669,198,1136,58,142,0,2391,140
2020-06-30,3822,153,1282,146,160,18,2380,-11
2020-07-01,3995,173,1377,95,161,1,2457,77
2020-07-02,4148,153,1381,4,161,0,2606,149
2020-07-03,4282,134,1464,83,171,10,2647,41
2020-07-04,4392,110,1555,91,190,19,2647,0
2020-07-05,4600,208,1563,8,196,6,2841,194
2020-07-06,4727,127,1619,56,212,16,2896,55
2020-07-07,4867,140,1683,64,213,1,2971,75
2020-07-08,5072,205,1770,87,217,4,3085,114
2020-07-09,5192,120,1778,8,218,1,3196,111
2020-07-10,5292,100,1881,103,227,9,3184,-12
2020-07-11,5392,100,1898,17,227,0,3267,83
2020-07-12,0,0,0,0,0,0,0,0
