levelKerawanan,jumlah_penduduk,total,density,kode_kecamatan,nama_kecamatan,nama_kabupatenKota,nama_provinsi
2,177574,339,0.001909,217110,Batam Kota,KOTA BATAM,KEPULAUAN RIAU
2,111955,213,0.001903,340212,Banguntapan,KAB. BANTUL,DAERAH ISTIMEWA YOGYAKARTA
2,103947,196,0.001886,737114,Tamalanrea,KOTA MAKASSAR,SULAWESI SELATAN
2,104089,196,0.001883,510401,Sukawati,KAB. GIANYAR,BALI
2,23436,44,0.001877,147103,Sail,KOTA PEKANBARU,RIAU
2,106141,199,0.001875,327103,Bogor Tengah,KOTA BOGOR,JAWA BARAT
2,109534,205,0.001872,357809,Sukolilo,KOTA SURABAYA,JAWA TIMUR
2,106199,198,0.001864,327510,Jatisampurna,KOTA BEKASI,JAWA BARAT
2,71116,132,0.001856,527105,Selaprang,KOTA MATARAM,NUSA TENGGARA BARAT
2,66421,123,0.001852,167101,Ilir Barat II,KOTA PALEMBANG,SUMATERA SELATAN
2,2162,4,0.001850,920503,Waigeo Selatan,KAB. RAJA AMPAT,PAPUA BARAT
2,21729,40,0.001841,737201,Bacukiki,KOTA PARE PARE,SULAWESI SELATAN
2,136336,247,0.001812,357808,Gubeng,KOTA SURABAYA,JAWA TIMUR
2,313288,567,0.001810,317504,Kramatjati,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,388044,702,0.001809,321606,Tambun Selatan,KAB. BEKASI,JAWA BARAT
2,78564,142,0.001807,327320,Antapani,KOTA BANDUNG,JAWA BARAT
2,21108,38,0.001800,627104,Sabangau,KOTA PALANGKARAYA,KALIMANTAN TENGAH
2,69510,125,0.001798,340413,Sleman,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,48518,87,0.001793,150202,Bangko,KAB. MERANGIN,JAMBI
2,177124,317,0.001790,517101,Denpasar Selatan,KOTA DENPASAR,BALI
2,21831,39,0.001786,347109,Kraton,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,297837,532,0.001786,317308,Kembangan,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,21335,38,0.001781,347104,Danurejan,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,26436,47,0.001778,147102,Pekanbaru Kota,KOTA PEKANBARU,RIAU
2,5063,9,0.001778,621310,Karusen Janang,KAB. BARITO TIMUR,KALIMANTAN TENGAH
2,1128,2,0.001773,920707,Naikere,KAB. TELUK WONDAMA,PAPUA BARAT
2,201529,357,0.001771,327101,Bogor Selatan,KOTA BOGOR,JAWA BARAT
2,4536,8,0.001764,910305,Kemtuk,KAB. JAYAPURA,PAPUA
2,155546,274,0.001762,327606,Beji,KOTA DEPOK,JAWA BARAT
2,10810,19,0.001758,347111,Pakualaman,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,111611,196,0.001756,331810,Pati,KAB. PATI,JAWA TENGAH
2,327585,571,0.001743,317405,Kebayoran Lama,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,149192,259,0.001736,367109,Cibodas,KOTA TANGERANG,BANTEN
2,14982,26,0.001735,347110,Gondomanan,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,93549,162,0.001732,340401,Gamping,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,76239,132,0.001731,327324,Arcamanik,KOTA BANDUNG,JAWA BARAT
2,234134,405,0.001730,327602,Cimanggis,KOTA DEPOK,JAWA BARAT
2,103531,179,0.001729,327102,Bogor Timur,KOTA BOGOR,JAWA BARAT
2,117744,203,0.001724,167110,Kalidoni,KOTA PALEMBANG,SUMATERA SELATAN
2,231009,398,0.001723,317505,Pasar Rebo,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,308956,532,0.001722,317509,Ciracas,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,238809,411,0.001721,327104,Bogor Barat,KOTA BOGOR,JAWA BARAT
2,34311,59,0.001720,347114,Kotagede,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,71336,122,0.001710,620301,Selat,KAB. KAPUAS,KALIMANTAN TENGAH
2,184111,313,0.001700,147108,Tampan,KOTA PEKANBARU,RIAU
2,86479,147,0.001700,737103,Makassar,KOTA MAKASSAR,SULAWESI SELATAN
2,117667,200,0.001700,317402,Setiabudi,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
2,187917,319,0.001698,327105,Bogor Utara,KOTA BOGOR,JAWA BARAT
2,129661,220,0.001697,321618,Setu,KAB. BEKASI,JAWA BARAT
2,79712,135,0.001694,157107,Kota Baru,KOTA JAMBI,JAMBI
2,25982,44,0.001693,737104,Ujung Pandang,KOTA MAKASSAR,SULAWESI SELATAN
2,5911,10,0.001692,190203,Selat Nasik,KAB. BELITUNG,KEPULAUAN BANGKA BELITUNG
2,159933,270,0.001688,367405,Ciputat Timur,KOTA TANGERANG SELATAN,BANTEN
2,228326,385,0.001686,327508,Pondokgede,KOTA BEKASI,JAWA BARAT
2,222139,374,0.001684,317508,Makasar,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
2,88058,148,0.001681,340301,Wonosari,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA
2,151513,254,0.001676,360328,Kelapa Dua,KAB. TANGERANG,BANTEN
2,357745,598,0.001672,317305,Kebon Jeruk,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
2,2397,4,0.001669,920501,Misool (Misool Utara),KAB. RAJA AMPAT,PAPUA BARAT
2,45597,76,0.001667,357828,Asem Rowo,KOTA SURABAYA,JAWA TIMUR
2,35433,59,0.001665,347108,Mantrijeron,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
2,33676,56,0.001663,340403,Moyudan,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
2,81250,135,0.001662,510306,Kuta Utara,KAB. BADUNG,BALI
2,181904,302,0.001660,321608,Cikarang Barat,KAB. BEKASI,JAWA BARAT
