date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-10,27,27,2,2,25,25,0,0
2020-03-20,369,342,17,15,320,295,32,32
2020-03-30,1414,1045,75,58,1217,897,122,90
2020-04-09,3293,1879,252,177,2761,1544,280,158
2020-04-19,6575,3282,686,434,5307,2546,582,302
2020-04-29,9771,3196,1391,705,7596,2289,784,202
2020-05-09,13645,3874,2607,1216,10079,2483,959,175
2020-05-19,18496,4851,4467,1860,12808,2729,1221,262
2020-05-29,25216,6720,6492,2025,17204,4396,1520,299
2020-06-08,32033,6817,10904,4412,19246,2042,1883,363
2020-06-18,42762,10729,16798,5894,23625,4379,2339,456
2020-06-28,54010,11248,22936,6138,28320,4695,2754,415
2020-07-08,68079,14069,31585,8649,33135,4815,3359,605
2020-07-14,78572,10493,37636,6051,37226,4091,3710,351
