zone,last_update,value,percentage,population
KALIMANTAN_SELATAN,2020-08-26,106,,3215366
DKI_JAKARTA,2020-08-26,101,,11058944
SULAWESI_UTARA,2020-08-26,72,,2154904
MALUKU_UTARA,2020-08-26,69,,885950
JAWA_TIMUR,2020-08-26,56,,40531918
GORONTALO,2020-08-25,48,,1068216
KALIMANTAN_TENGAH,2020-08-26,46,,2251078
SULAWESI_SELATAN,2020-08-26,42,,8340621
KALIMANTAN_TIMUR,2020-08-26,39,,3439150
NUSA_TENGGARA_BARAT,2020-08-26,32,,4736032
MALUKU,2020-08-26,31,,1054437
SUMATERA_SELATAN,2020-08-26,31,,7467555
NATIONAL,2020-08-27,29,,245596822
JAWA_TENGAH,2020-08-26,25,,36461504
PAPUA,2020-08-26,24,,1740450
SUMATERA_UTARA,2020-08-26,22,,13181814
BENGKULU,2020-08-26,19,,1248241
KEPULAUAN_RIAU,2020-08-26,18,,1744063
SULAWESI_TENGGARA,2020-08-26,16,,1487542
PAPUA_BARAT,2020-08-26,14,,735514
BALI,2020-08-26,13,,4247341
ACEH,2020-08-26,10,,3856404
BANTEN,2020-08-26,10,,10451189
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-26,10,,3656108
SUMATERA_BARAT,2020-08-26,10,,5135071
JAWA_BARAT,2020-08-26,6,,45485037
SULAWESI_BARAT,2020-08-26,6,,1256533
KALIMANTAN_UTARA,2020-08-26,4,,560965
RIAU,2020-08-26,4,,5492714
SULAWESI_TENGAH,2020-08-24,4,,2047415
JAMBI,2020-08-26,2,,3080619
KEPULAUAN_BANGKA_BELITUNG,2020-08-26,2,,1330690
LAMPUNG,2020-08-26,2,,8455434
NUSA_TENGGARA_TIMUR,2020-08-26,1,,3096127
KALIMANTAN_BARAT,2020-08-25,0,,4641876
