zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-06,34753,25.08,
JAWA_TIMUR,2020-09-06,28032,20.23,
JAWA_TENGAH,2020-09-06,10011,7.22,
SULAWESI_SELATAN,2020-09-06,9662,6.97,
KALIMANTAN_SELATAN,2020-09-06,6802,4.91,
JAWA_BARAT,2020-09-06,6550,4.73,
BALI,2020-09-06,5010,3.62,
SUMATERA_UTARA,2020-09-06,4555,3.29,
SUMATERA_SELATAN,2020-09-06,3377,2.44,
PAPUA,2020-09-05,3247,2.34,
SULAWESI_UTARA,2020-09-06,2959,2.14,
KALIMANTAN_TIMUR,2020-09-06,2950,2.13,
BANTEN,2020-09-06,2234,1.61,
NUSA_TENGGARA_BARAT,2020-09-06,2176,1.57,
KALIMANTAN_TENGAH,2020-09-06,2155,1.56,
GORONTALO,2020-09-06,1879,1.36,
MALUKU_UTARA,2020-09-04,1579,1.14,
SUMATERA_BARAT,2020-09-06,1452,1.05,
MALUKU,2020-09-06,1287,0.93,
RIAU,2020-09-06,1253,0.90,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-06,1157,0.83,
SULAWESI_TENGGARA,2020-09-06,1121,0.81,
PAPUA_BARAT,2020-09-06,622,0.45,
KALIMANTAN_BARAT,2020-09-06,613,0.44,
KEPULAUAN_RIAU,2020-09-05,593,0.43,
ACEH,2020-09-06,434,0.31,
KALIMANTAN_UTARA,2020-09-06,359,0.26,
LAMPUNG,2020-09-06,338,0.24,
SULAWESI_BARAT,2020-09-05,293,0.21,
KEPULAUAN_BANGKA_BELITUNG,2020-09-06,231,0.17,
SULAWESI_TENGAH,2020-09-05,224,0.16,
BENGKULU,2020-09-06,187,0.13,
JAMBI,2020-09-04,170,0.12,
NUSA_TENGGARA_TIMUR,2020-09-06,170,0.12,
