date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-07,4,4,0,0,4,4,0,0
2020-03-14,96,92,8,8,83,79,5,5
2020-03-21,450,354,20,12,392,309,38,33
2020-03-28,1155,705,59,39,994,602,102,64
2020-04-04,2092,937,150,91,1751,757,191,89
2020-04-11,3842,1750,286,136,3229,1478,327,136
2020-04-18,6248,2406,631,345,5082,1853,535,208
2020-04-25,8607,2359,1042,411,6845,1763,720,185
2020-05-02,10843,2236,1665,623,8347,1502,831,111
2020-05-09,13645,2802,2607,942,10079,1732,959,128
2020-05-16,17025,3380,3911,1304,12025,1946,1089,130
2020-05-23,21745,4720,5249,1338,15145,3120,1351,262
2020-05-30,25773,4028,7015,1766,17185,2040,1573,222
2020-06-06,30514,4741,9907,2892,18806,1621,1801,228
2020-06-13,37420,6906,13776,3869,21553,2747,2091,290
2020-06-20,45029,7609,17883,4107,24717,3164,2429,338
2020-06-27,52812,7783,21909,4026,28183,3466,2720,291
2020-07-04,62142,9330,28219,6310,30834,2651,3089,369
2020-07-11,74018,11876,34719,6500,35764,4930,3535,446
2020-07-16,81668,7650,40345,5626,37450,1686,3873,338
