zone,last_update,value,percentage,population
PAPUA,2020-09-21,422,,1740450
PAPUA_BARAT,2020-09-21,381,,735514
RIAU,2020-09-21,324,,5492714
SULAWESI_TENGGARA,2020-09-21,176,,1487542
SUMATERA_BARAT,2020-09-21,161,,5135071
DKI_JAKARTA,2020-09-21,142,,11058944
MALUKU,2020-09-21,126,,1054437
SULAWESI_SELATAN,2020-09-21,103,,8340621
ACEH,2020-09-21,91,,3856404
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-21,84,,3656108
BANTEN,2020-09-21,68,,10451189
KALIMANTAN_TENGAH,2020-09-21,52,,2251078
SUMATERA_UTARA,2020-09-21,47,,13181814
KALIMANTAN_TIMUR,2020-09-21,41,,3439150
NATIONAL,2020-09-21,41,,245596822
BENGKULU,2020-09-20,38,,1248241
SULAWESI_TENGAH,2020-09-21,29,,2047415
JAWA_BARAT,2020-09-21,28,,45485037
JAWA_TENGAH,2020-09-21,23,,36461504
KEPULAUAN_BANGKA_BELITUNG,2020-09-21,23,,1330690
LAMPUNG,2020-09-21,22,,8455434
BALI,2020-09-21,21,,4247341
NUSA_TENGGARA_TIMUR,2020-09-20,16,,3096127
KALIMANTAN_BARAT,2020-09-21,13,,4641876
SUMATERA_SELATAN,2020-09-21,11,,7467555
SULAWESI_BARAT,2020-09-21,8,,1256533
JAMBI,2020-09-20,2,,3080619
NUSA_TENGGARA_BARAT,2020-09-21,1,,4736032
GORONTALO,2020-09-21,-10,,1068216
JAWA_TIMUR,2020-09-21,-11,,40531918
SULAWESI_UTARA,2020-09-21,-25,,2154904
KEPULAUAN_RIAU,2020-09-21,-29,,1744063
KALIMANTAN_UTARA,2020-09-21,-36,,560965
MALUKU_UTARA,2020-09-21,-109,,885950
KALIMANTAN_SELATAN,2020-09-21,-132,,3215366
