zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-21,4682,22.53,
JAWA_BARAT,2020-09-21,3789,18.23,
RIAU,2020-09-21,2709,13.03,
SUMATERA_BARAT,2020-09-21,1496,7.20,
JAWA_TENGAH,2020-09-21,1463,7.04,
KALIMANTAN_TIMUR,2020-09-21,1052,5.06,
SULAWESI_SELATAN,2020-09-21,882,4.24,
BANTEN,2020-09-21,880,4.23,
ACEH,2020-09-21,863,4.15,
BALI,2020-09-21,731,3.52,
SUMATERA_UTARA,2020-09-21,683,3.29,
PAPUA,2020-09-21,623,3.00,
PAPUA_BARAT,2020-09-21,447,2.15,
SULAWESI_TENGGARA,2020-09-21,363,1.75,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-21,315,1.52,
MALUKU,2020-09-21,305,1.47,
KEPULAUAN_RIAU,2020-09-21,239,1.15,
LAMPUNG,2020-09-21,217,1.04,
BENGKULU,2020-09-20,125,0.60,
SUMATERA_SELATAN,2020-09-21,111,0.53,
KALIMANTAN_TENGAH,2020-09-21,109,0.52,
NUSA_TENGGARA_TIMUR,2020-09-20,65,0.31,
SULAWESI_TENGAH,2020-09-21,51,0.25,
KALIMANTAN_UTARA,2020-09-21,25,0.12,
JAWA_TIMUR,2020-09-21,24,0.12,
KALIMANTAN_BARAT,2020-09-21,19,0.09,
KEPULAUAN_BANGKA_BELITUNG,2020-09-21,17,0.08,
SULAWESI_BARAT,2020-09-21,11,0.05,
JAMBI,2020-09-20,-15,-0.07,
NUSA_TENGGARA_BARAT,2020-09-21,-62,-0.30,
MALUKU_UTARA,2020-09-21,-70,-0.34,
GORONTALO,2020-09-21,-118,-0.57,
SULAWESI_UTARA,2020-09-21,-169,-0.81,
KALIMANTAN_SELATAN,2020-09-21,-883,-4.25,
