zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-21,29216,31.27,
JAWA_TIMUR,2020-09-21,10441,11.17,
JAWA_BARAT,2020-09-21,8142,8.71,
JAWA_TENGAH,2020-09-21,7126,7.63,
RIAU,2020-09-21,4169,4.46,
KALIMANTAN_TIMUR,2020-09-21,3809,4.08,
BALI,2020-09-21,3312,3.54,
SUMATERA_UTARA,2020-09-21,3302,3.53,
SULAWESI_SELATAN,2020-09-21,3032,3.24,
SUMATERA_BARAT,2020-09-21,2789,2.98,
ACEH,2020-09-21,2453,2.63,
KALIMANTAN_SELATAN,2020-09-21,1979,2.12,
BANTEN,2020-09-21,1859,1.99,
PAPUA,2020-09-21,1526,1.63,
SUMATERA_SELATAN,2020-09-21,1292,1.38,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-21,1038,1.11,
KEPULAUAN_RIAU,2020-09-21,968,1.04,
MALUKU,2020-09-21,938,1.00,
SULAWESI_TENGGARA,2020-09-21,896,0.96,
KALIMANTAN_TENGAH,2020-09-21,869,0.93,
PAPUA_BARAT,2020-09-21,857,0.92,
SULAWESI_UTARA,2020-09-21,763,0.82,
NUSA_TENGGARA_BARAT,2020-09-21,530,0.57,
GORONTALO,2020-09-21,478,0.51,
LAMPUNG,2020-09-21,373,0.40,
KALIMANTAN_BARAT,2020-09-21,294,0.31,
BENGKULU,2020-09-20,248,0.27,
MALUKU_UTARA,2020-09-21,233,0.25,
SULAWESI_BARAT,2020-09-21,152,0.16,
NUSA_TENGGARA_TIMUR,2020-09-20,150,0.16,
KALIMANTAN_UTARA,2020-09-21,135,0.14,
JAMBI,2020-09-20,112,0.12,
KEPULAUAN_BANGKA_BELITUNG,2020-09-21,84,0.09,
SULAWESI_TENGAH,2020-09-21,82,0.09,
