zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-21,2642,,11058944
PAPUA_BARAT,2020-09-21,1165,,735514
KALIMANTAN_TIMUR,2020-09-21,1108,,3439150
MALUKU,2020-09-21,890,,1054437
PAPUA,2020-09-21,877,,1740450
BALI,2020-09-21,780,,4247341
RIAU,2020-09-21,759,,5492714
ACEH,2020-09-21,636,,3856404
KALIMANTAN_SELATAN,2020-09-21,615,,3215366
SULAWESI_TENGGARA,2020-09-21,602,,1487542
KEPULAUAN_RIAU,2020-09-21,555,,1744063
SUMATERA_BARAT,2020-09-21,543,,5135071
GORONTALO,2020-09-21,447,,1068216
KALIMANTAN_TENGAH,2020-09-21,386,,2251078
NATIONAL,2020-09-21,380,,245596822
SULAWESI_SELATAN,2020-09-21,364,,8340621
SULAWESI_UTARA,2020-09-21,354,,2154904
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-21,284,,3656108
MALUKU_UTARA,2020-09-21,263,,885950
JAWA_TIMUR,2020-09-21,258,,40531918
SUMATERA_UTARA,2020-09-21,250,,13181814
KALIMANTAN_UTARA,2020-09-21,241,,560965
BENGKULU,2020-09-20,199,,1248241
JAWA_TENGAH,2020-09-21,195,,36461504
JAWA_BARAT,2020-09-21,179,,45485037
BANTEN,2020-09-21,178,,10451189
SUMATERA_SELATAN,2020-09-21,173,,7467555
SULAWESI_BARAT,2020-09-21,121,,1256533
NUSA_TENGGARA_BARAT,2020-09-21,112,,4736032
KALIMANTAN_BARAT,2020-09-21,63,,4641876
KEPULAUAN_BANGKA_BELITUNG,2020-09-21,63,,1330690
NUSA_TENGGARA_TIMUR,2020-09-20,48,,3096127
LAMPUNG,2020-09-21,44,,8455434
SULAWESI_TENGAH,2020-09-21,40,,2047415
JAMBI,2020-09-20,36,,3080619
