zone,last_update,value,percentage,population
KALIMANTAN_TIMUR,2020-09-06,47,,3439150
DKI_JAKARTA,2020-09-06,31,,11058944
GORONTALO,2020-09-06,20,,1068216
KALIMANTAN_SELATAN,2020-09-06,20,,3215366
MALUKU_UTARA,2020-09-04,18,,885950
JAWA_TIMUR,2020-09-06,16,,40531918
ACEH,2020-09-06,15,,3856404
PAPUA_BARAT,2020-09-06,15,,735514
BALI,2020-09-06,13,,4247341
SULAWESI_TENGGARA,2020-09-06,13,,1487542
SUMATERA_SELATAN,2020-09-06,11,,7467555
JAWA_TENGAH,2020-09-06,10,,36461504
KEPULAUAN_RIAU,2020-09-05,10,,1744063
MALUKU,2020-09-06,10,,1054437
NUSA_TENGGARA_BARAT,2020-09-06,10,,4736032
NATIONAL,2020-09-06,9,,245596822
SULAWESI_UTARA,2020-09-06,9,,2154904
SUMATERA_UTARA,2020-09-06,8,,13181814
KALIMANTAN_TENGAH,2020-09-06,7,,2251078
PAPUA,2020-09-05,7,,1740450
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-06,6,,3656108
RIAU,2020-09-06,6,,5492714
SULAWESI_SELATAN,2020-09-06,5,,8340621
SUMATERA_BARAT,2020-09-06,5,,5135071
BENGKULU,2020-09-06,4,,1248241
BANTEN,2020-09-06,2,,10451189
SULAWESI_BARAT,2020-09-05,2,,1256533
SULAWESI_TENGAH,2020-09-05,2,,2047415
JAWA_BARAT,2020-09-06,1,,45485037
LAMPUNG,2020-09-06,1,,8455434
JAMBI,2020-09-04,0,,3080619
KALIMANTAN_BARAT,2020-09-06,0,,4641876
KALIMANTAN_UTARA,2020-09-06,0,,560965
KEPULAUAN_BANGKA_BELITUNG,2020-09-06,0,,1330690
NUSA_TENGGARA_TIMUR,2020-09-06,0,,3096127
