nama_provinsi,kode_provinsi,nama_kabupatenkota,kode_kabupatenkota,nama_kecamatan,kode_kecamatan,jumlah_penduduk,total,density,level_kerawanan
JAWA TIMUR,35,KOTA SURABAYA,35.78,Genteng,357807,58649,66,0.0011253388804583198,2
KALIMANTAN UTARA,65,KAB. NUNUKAN,65.03,Sebatik,650301,6223,7,0.0011248593925759281,2
JAWA TIMUR,35,KAB. KEDIRI,35.06,Papar,350614,55233,62,0.0011225173356507884,2
JAWA BARAT,32,KAB. BEKASI,32.16,Cikarang Timur,321611,97186,109,0.0011215607186220238,2
JAWA BARAT,32,KOTA DEPOK,32.76,Limo,327604,90976,102,0.0011211748153359127,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Panyileukan,327328,39277,44,0.0011202484914835653,2
NUSA TENGGARA TIMUR,53,KAB. MALAKA,53.21,Malaka Tengah,532101,40203,45,0.0011193194537721066,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Cidadap,327308,53622,60,0.0011189437171310282,2
JAWA BARAT,32,KAB. BOGOR,32.01,Leuwiliang,320114,111743,125,0.0011186383039653491,2
PAPUA,91,KOTA JAYAPURA,91.71,Jayapura Selatan,917102,105706,118,0.0011163037102908066,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Sewon,340215,99807,111,0.001112146442634284,2
RIAU,14,KOTA PEKANBARU,14.71,Payung Sekaki,147111,95337,106,0.0011118453486054732,2
JAWA TIMUR,35,KAB. MALANG,35.07,Bululawang,350714,67741,75,0.0011071581464696418,2
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,34.71,Gedongtengen,347105,19891,22,0.0011060278517922679,2
JAWA BARAT,32,KOTA BEKASI,32.75,Pondokmelati,327512,127202,140,0.001100611625603371,2
KALIMANTAN TENGAH,62,KAB. LAMANDAU,62.09,Batang Kawa,620908,2727,3,0.0011001100110011,2
JAWA TENGAH,33,KAB. KLATEN,33.10,Prambanan,331001,52824,58,0.0010979857640466455,2
SUMATERA UTARA,12,KAB. SIMALUNGUN,12.08,Girsang Sipangan Bolon,120816,18223,20,0.00109751413049443,2
BALI,51,KAB. BULELENG,51.08,Buleleng,510806,154070,169,0.0010969040046732005,2
SUMATERA SELATAN,16,KAB. MUARA ENIM,16.03,Lawang Kidul,160307,70215,77,0.0010966317738374991,2
SULAWESI TENGGARA,74,KOTA KENDARI,74.71,Wua-Wua,747107,31959,35,0.001095153164992647,2
SULAWESI SELATAN,73,KAB. SINJAI,73.07,Sinjai Barat,730701,25694,28,0.0010897485794348874,2
GORONTALO,75,KAB. PAHUWATO,75.04,Duhiadaa,750410,12860,14,0.001088646967340591,2
SUMATERA UTARA,12,KOTA MEDAN,12.71,Medan Sunggal,127102,133311,145,0.0010876821867662834,2
BANTEN,36,KOTA TANGERANG,36.71,Benda,367104,78294,85,0.001085651518634889,2
JAWA TIMUR,35,KAB. KEDIRI,35.06,Kayen Kidul,350624,48922,53,0.0010833571808184458,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. BANTUL,34.02,Pleret,340213,48170,52,0.0010795100685073698,2
MALUKU UTARA,82,KAB. HALMAHERA SELATAN,82.04,Gane Timur,820403,9267,10,0.0010790978741771879,2
SULAWESI TENGAH,72,KOTA PALU,72.71,Palu Barat,727102,51047,55,0.0010774384390855485,2
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,34.71,Wirobrajan,347107,27868,30,0.001076503516578154,2
BANTEN,36,KOTA TANGERANG,36.71,Periuk,367108,134741,145,0.001076138666033353,2
JAWA TIMUR,35,KAB. MALANG,35.07,Pujon,350726,65051,70,0.0010760787689658882,2
JAWA TENGAH,33,KAB. KLATEN,33.10,Klaten Utara,331024,49265,53,0.0010758144727494165,2
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. SLEMAN,34.04,Prambanan,340409,53948,58,0.0010751093645732929,2
JAWA BARAT,32,KOTA BANDUNG,32.73,Cibeunying Kaler,327318,69783,75,0.0010747603284467565,2
SUMATERA BARAT,13,KOTA PADANG PANJANG,13.74,Padang Panjang Barat,137402,33581,36,0.0010720347815729133,2
PAPUA,91,KAB. MIMIKA,91.09,Mimika Baru,910901,150273,161,0.0010713834155170923,2
SULAWESI SELATAN,73,KAB. GOWA,73.06,Somba Upu,730608,154500,165,0.0010679611650485437,2
GORONTALO,75,KOTA GORONTALO,75.71,Kota Timur,757105,27165,29,0.001067550156451316,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Sawahan,357806,202611,216,0.0010660822956305434,2
KALIMANTAN TIMUR,64,KAB. KUTAI TIMUR,64.08,Sangatta Utara,640804,123145,131,0.0010637865930407243,2
JAWA TIMUR,35,KOTA SURABAYA,35.78,Semampir,357816,182173,193,0.0010594325174422116,2
SULAWESI SELATAN,73,KOTA MAKASSAR,73.71,Biringkanaya,737111,209510,221,0.001054842250966541,2
GORONTALO,75,KAB. BONE BOLANGO,75.03,Kabila,750302,23714,25,0.0010542295690309522,2
KALIMANTAN TENGAH,62,KAB. MURUNG RAYA,62.12,Sumber Barito,621205,6643,7,0.001053740779768177,2
BANTEN,36,KAB. TANGERANG,36.03,Cisoka,360305,79765,84,0.0010530934620447566,2
