nama_provinsi,kode_provinsi,nama_kabupatenkota,kode_kabupatenkota,nama_kecamatan,kode_kecamatan,jumlah_penduduk,total,density,level_kerawanan
SULAWESI SELATAN,73,KAB. PANGKAJENE KEPULAUAN,73.10,Mandalle,731011,14311,7,0.0004891342324086367,1
SUMATERA BARAT,13,KOTA PADANG PANJANG,13.74,Padang Panjang Timur,137401,24559,12,0.000488619243454538,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Gondang,350409,61443,30,0.00048825740930618625,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Campurdarat,350416,59437,29,0.0004879115702340293,1
JAWA BARAT,32,KAB. BEKASI,32.16,Bojongmangu,321623,26683,13,0.00048720158902672116,1
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. KULON PROGO,34.01,Wates,340102,49279,24,0.0004870228697822602,1
SULAWESI TENGGARA,74,KAB. KOLAKA UTARA,74.08,Rante Angin,740804,6160,3,0.000487012987012987,1
JAWA BARAT,32,KAB. KARAWANG,32.15,Klari,321505,176588,86,0.00048700930980587583,1
KALIMANTAN TIMUR,64,KOTA BALIKPAPAN,64.71,Balikpapan Timur,647101,84190,41,0.0004869937047155244,1
SULAWESI SELATAN,73,KAB. MAROS,73.09,Tanralili,730907,30810,15,0.0004868549172346641,1
SULAWESI SELATAN,73,KAB. GOWA,73.06,Bajeng Barat,730618,26752,13,0.000485944976076555,1
JAWA BARAT,32,KAB. BOGOR,32.01,Pamijahan,320117,138071,67,0.00048525758486575745,1
JAWA BARAT,32,KAB. SUKABUMI,32.02,Sukabumi,320232,49473,24,0.00048511309198957006,1
KEPULAUAN RIAU,21,KOTA BATAM,21.71,Sei Beduk,217107,86582,42,0.00048508927952692246,1
SULAWESI UTARA,71,KAB. KEPULAUAN SANGIHE,71.03,Tabukan Utara,710308,22732,11,0.00048389934893542145,1
BALI,51,KAB. BULELENG,51.08,Sukasada,510805,90969,44,0.0004836812540535787,1
KALIMANTAN UTARA,65,KOTA TARAKAN,65.71,Tarakan Barat,657101,78590,38,0.00048352207660007634,1
LAMPUNG,18,KOTA BANDAR LAMPUNG,18.71,Kedaton,187101,59992,29,0.0004833977863715162,1
JAWA BARAT,32,KAB. BOGOR,32.01,Citeureup,320103,194542,94,0.0004831861500344399,1
SULAWESI TENGAH,72,KAB. POSO,72.02,Poso Kota Selatan,720221,10350,5,0.0004830917874396135,1
SULAWESI UTARA,71,KAB. MINAHASA UTARA,71.06,Likupang Timur,710607,20706,10,0.00048295180141021924,1
JAWA BARAT,32,KAB. BEKASI,32.16,Sukakarya,321614,47683,23,0.00048235220099406494,1
SUMATERA UTARA,12,KOTA TANJUNG BALAI,12.74,Sei Tualang Raso,127403,26976,13,0.00048190984578884937,1
JAWA TENGAH,33,KAB. KUDUS,33.19,Jekulo,331906,110021,53,0.00048172621590423647,1
PAPUA,91,KAB. MERAUKE,91.01,Jagebob,910107,8305,4,0.00048163756773028296,1
JAWA BARAT,32,KAB. INDRAMAYU,32.12,Indramayu,321215,120439,58,0.0004815715839553633,1
JAWA TIMUR,35,KAB. BONDOWOSO,35.11,Tenggarang,351108,43644,21,0.0004811657959857025,1
SUMATERA UTARA,12,KAB. DAIRI,12.11,Sidikalang,121101,54140,26,0.0004802364240857037,1
SULAWESI UTARA,71,KAB. KEPULAUAN SANGIHE,71.03,Tahuna,710317,16661,8,0.0004801632555068723,1
JAWA TENGAH,33,KAB. BANYUMAS,33.02,Purwokerto Utara,330227,47923,23,0.0004799365649062037,1
KEPULAUAN BANGKA BELITUNG,19,KOTA PANGKAL PINANG,19.71,Gerunggang,197105,43768,21,0.00047980259550356425,1
SUMATERA SELATAN,16,KAB. MUARA ENIM,16.03,Semende Darat Tengah,160309,10421,5,0.0004798004030323385,1
JAWA BARAT,32,KAB. SUKABUMI,32.02,Cisaat,320229,125085,60,0.0004796738218011752,1
JAWA TIMUR,35,KAB. BONDOWOSO,35.11,Tapen,351110,35449,17,0.00047956218793195857,1
KALIMANTAN TENGAH,62,KAB. KATINGAN,62.06,Mendawai,620609,4180,2,0.0004784688995215311,1
SULAWESI SELATAN,73,KOTA PALOPO,73.73,Bara,737309,29301,14,0.00047779939251220096,1
JAWA BARAT,32,KAB. BEKASI,32.16,Tambelang,321604,37733,18,0.00047703601621922455,1
KALIMANTAN TENGAH,62,KAB. KOTAWARINGIN BARAT,62.01,Pangkalan Banteng,620106,33544,16,0.0004769854519437157,1
SUMATERA BARAT,13,KOTA PARIAMAN,13.77,Pariaman Timur,137704,18871,9,0.0004769222616713476,1
JAWA TIMUR,35,KAB. SIDOARJO,35.15,Tulangan,351509,96528,46,0.00047654566550638154,1
JAWA TIMUR,35,KAB. MAGETAN,35.20,Poncol,352001,31500,15,0.0004761904761904762,1
LAMPUNG,18,KAB. TULANG BAWANG,18.05,Gedung Aji,180506,14754,7,0.00047444760742849397,1
JAWA BARAT,32,KAB. GARUT,32.05,Karangtengah,320516,16863,8,0.0004744114333155429,1
JAWA TENGAH,33,KAB. WONOSOBO,33.07,Kertek,330708,90645,43,0.00047437806828837774,1
MALUKU,81,KAB. MALUKU TENGGARA,81.02,Manyeuw,810215,6327,3,0.000474158368895211,1
RIAU,14,KOTA DUMAI,14.72,Dumai Timur,147202,65502,31,0.00047326799181704373,1
JAWA TENGAH,33,KAB. KLATEN,33.10,Manisrenggo,331009,44373,21,0.000473260766682442,1
KALIMANTAN SELATAN,63,KOTA BANJARBARU,63.72,Banjarbaru Utara,637204,50713,24,0.00047325143454341097,1
NUSA TENGGARA BARAT,52,KAB. LOMBOK BARAT,52.01,Lingsar,520112,76102,36,0.0004730493285327587,1
JAWA TIMUR,35,KAB. SIDOARJO,35.15,Buduran,351515,93032,44,0.0004729555421790352,1
SULAWESI BARAT,76,KAB. MAMUJU TENGAH,76.06,Budong-Budong,760603,31732,15,0.0004727089373503088,1
KALIMANTAN TIMUR,64,KOTA BALIKPAPAN,64.71,Balikpapan Utara,647103,160900,76,0.0004723430702299565,1
RIAU,14,KAB. KAMPAR,14.01,Kampar,140102,48704,23,0.00047224047306176084,1
JAWA TIMUR,35,KAB. BLITAR,35.05,Wlingi,350517,55070,26,0.0004721263846014164,1
SUMATERA BARAT,13,KOTA PADANG,13.71,Koto Tangah,137111,192804,91,0.00047198190908902303,1
JAWA BARAT,32,KAB. BANDUNG,32.04,Pameungpeuk,320414,84841,40,0.0004714701618321331,1
KALIMANTAN TIMUR,64,KAB. KUTAI TIMUR,64.08,Kaliorang,640810,14857,7,0.0004711583765228512,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Maleber,320830,44713,21,0.00046966206696039185,1
SUMATERA UTARA,12,KOTA MEDAN,12.71,Medan Tembung,127114,155465,73,0.0004695590647412601,1
JAWA BARAT,32,KAB. PURWAKARTA,32.14,Purwakarta,321401,174740,82,0.00046926862767540347,1
KEPULAUAN RIAU,21,KAB. KARIMUN,21.02,Kundur Utara,210207,12788,6,0.00046918986549890525,1
JAWA TENGAH,33,KAB. KEBUMEN,33.05,Karanganyar,330520,38392,18,0.0004688476765992915,1
SUMATERA UTARA,12,KOTA MEDAN,12.71,Medan Polonia,127116,61956,29,0.0004680741171153722,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Karangrejo,350408,44981,21,0.0004668637869322603,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Bawen,332211,57837,27,0.00046682919238549717,1
SULAWESI TENGAH,72,KAB. SIGI,72.10,Kinovaro,721013,10719,5,0.00046646142364026495,1
RIAU,14,KAB. KAMPAR,14.01,Tapung,140110,90049,42,0.0004664127308465391,1
KEPULAUAN RIAU,21,KAB. NATUNA,21.03,Pulau Tiga Barat,210321,2145,1,0.0004662004662004662,1
JAWA TENGAH,33,KAB. BREBES,33.29,Paguyangan,332904,109453,51,0.0004659534229303902,1
ACEH,11,KAB. ACEH UTARA,11.08,Syamtalira Bayu,110811,21504,10,0.0004650297619047619,1
JAWA TENGAH,33,KAB. KEBUMEN,33.05,Kuwarasan,330516,51702,24,0.00046419867703377044,1
JAWA TIMUR,35,KAB. LAMONGAN,35.24,Maduran,352410,34486,16,0.00046395638809951863,1
NUSA TENGGARA TIMUR,53,KAB. ALOR,53.05,Kabola,530510,8624,4,0.00046382189239332097,1
KALIMANTAN TENGAH,62,KAB. BARITO TIMUR,62.13,Pematang Karau,621306,12937,6,0.0004637860400401948,1
JAWA TIMUR,35,KAB. PROBOLINGGO,35.13,Sukapura,351301,19413,9,0.0004636068613815484,1
JAWA BARAT,32,KOTA CIREBON,32.74,Kejaksan,327401,49663,23,0.0004631214384954594,1
JAWA TIMUR,35,KOTA BLITAR,35.72,Kepanjenkidul,357201,45383,21,0.000462728334398343,1
SULAWESI UTARA,71,KOTA MANADO,71.71,Tikala,717105,32420,15,0.0004626773596545342,1
JAWA TENGAH,33,KAB. BANYUMAS,33.02,Ajibarang,330214,103969,48,0.0004616760765228097,1
JAWA TENGAH,33,KAB. PATI,33.18,Gabus,331811,62860,29,0.00046134266624244354,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Cigandamekar,320832,32517,15,0.0004612971676353907,1
JAWA BARAT,32,KAB. SUKABUMI,32.02,Parungkuda,320213,73717,34,0.00046122332704803506,1
JAWA TIMUR,35,KAB. TUBAN,35.23,Tuban,352316,86800,40,0.0004608294930875576,1
MALUKU UTARA,82,KOTA TIDORE KEPULAUAN,82.72,Tidore Selatan,827204,15210,7,0.0004602235371466141,1
RIAU,14,KAB. SIAK,14.08,Tualang,140804,113062,52,0.00045992464311616634,1
KALIMANTAN TIMUR,64,KOTA BONTANG,64.74,Bontang Utara,647401,82626,38,0.0004599036622854791,1
NUSA TENGGARA BARAT,52,KAB. LOMBOK UTARA,52.08,Bayan,520804,52287,24,0.00045900510643180907,1
ACEH,11,KAB. BENER MERIAH,11.17,Syiah Utama,111703,2179,1,0.0004589261128958238,1
JAWA TENGAH,33,KAB. JEPARA,33.20,Keling,332009,65397,30,0.00045873663929538053,1
SUMATERA BARAT,13,KAB. TANAH DATAR,13.04,X Koto,130401,43658,20,0.0004581061890146136,1
JAWA TENGAH,33,KAB. KLATEN,33.10,Delanggu,331016,43661,20,0.00045807471198552484,1
JAMBI,15,KAB. MERANGIN,15.02,Pamenang Barat,150213,17466,8,0.0004580327493415779,1
JAWA TENGAH,33,KAB. PURWOREJO,33.06,Butuh,330610,43686,20,0.0004578125715332143,1
JAWA TIMUR,35,KAB. MALANG,35.07,Kepanjen,350713,109254,50,0.0004576491478572867,1
SUMATERA UTARA,12,KAB. MANDAILING NATAL,12.13,Panyabungan Selatan,121304,10931,5,0.0004574146921599122,1
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Porsea,121207,15304,7,0.0004573967590172504,1
SULAWESI SELATAN,73,KAB. PANGKAJENE KEPULAUAN,73.10,Minasa Tene,731010,39364,18,0.0004572706025810385,1
SULAWESI TENGGARA,74,KAB. KONAWE,74.02,Besulutu,740220,8748,4,0.0004572473708276177,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Mandirancan,320814,24079,11,0.00045682960255824577,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Kalidawir,350414,76665,35,0.00045653166373182025,1
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. KULON PROGO,34.01,Samigaluh,340111,28479,13,0.00045647670213139506,1
KEPULAUAN RIAU,21,KOTA BATAM,21.71,Lubuk Baja,217106,89895,41,0.0004560876578230157,1
KALIMANTAN BARAT,61,KAB. MEMPAWAH,61.02,Mempawah Hilir,610201,43869,20,0.00045590280152271533,1
JAWA TIMUR,35,KOTA PASURUAN,35.75,Gadingrejo,357501,48262,22,0.00045584517840122665,1
JAWA TIMUR,35,KAB. MALANG,35.07,Pakisaji,350719,87755,40,0.0004558144835052134,1
JAWA TIMUR,35,KOTA MADIUN,35.77,Taman,357703,87988,40,0.0004546074464699732,1
SULAWESI SELATAN,73,KAB. LUWU TIMUR,73.24,Burau,732407,35197,16,0.00045458419751683385,1
SUMATERA SELATAN,16,KOTA LUBUK LINGGAU,16.73,Lubuk Linggau Timur I,167301,33027,15,0.0004541738577527477,1
SULAWESI UTARA,71,KAB. MINAHASA SELATAN,71.05,Amurang Barat,710517,17619,8,0.0004540552812304898,1
JAWA TENGAH,33,KAB. DEMAK,33.21,Mranggen,332101,158678,72,0.0004537491019549024,1
KALIMANTAN UTARA,65,KAB. TANA TIDUNG,65.04,Sesayap Hilir,650402,6612,3,0.00045372050816696913,1
JAWA TENGAH,33,KAB. PURWOREJO,33.06,Grabag,330601,50752,23,0.0004531841109709962,1
JAWA TIMUR,35,KOTA PASURUAN,35.75,Purworejo,357502,61868,28,0.00045257645309368334,1
PAPUA BARAT,92,KAB. KAIMANA,92.08,Kaimana,920801,44209,20,0.00045239657083399307,1
KALIMANTAN TENGAH,62,KAB. KATINGAN,62.06,Tewang Sangalang Garing,620603,13263,6,0.00045238633793259444,1
LAMPUNG,18,KAB. LAMPUNG SELATAN,18.01,Kalianda,180106,95071,43,0.00045229354903177625,1
SUMATERA BARAT,13,KOTA PARIAMAN,13.77,Pariaman Selatan,137703,19899,9,0.0004522840343735866,1
JAWA BARAT,32,KAB. KARAWANG,32.15,Majalaya,321521,61910,28,0.0004522694233564852,1
JAWA TIMUR,35,KAB. MALANG,35.07,Pagelaran,350733,70821,32,0.00045184337978848083,1
JAWA TIMUR,35,KAB. SITUBONDO,35.12,Kapongan,351210,39866,18,0.0004515125670997843,1
PAPUA,91,KAB. BIAK NUMFOR,91.06,Biak Barat,910608,6652,3,0.0004509921828021648,1
JAWA TIMUR,35,KAB. LAMONGAN,35.24,Karanggeneng,352418,44357,20,0.0004508871204094055,1
JAWA BARAT,32,KAB. BOGOR,32.01,Tamansari,320131,97602,44,0.0004508104342124137,1
JAWA BARAT,32,KAB. BEKASI,32.16,Pebayuran,321613,95558,43,0.000449988488666569,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Kuningan,320809,109031,49,0.00044941346956370206,1
JAWA BARAT,32,KOTA BANJAR,32.79,Purwaharja,327903,24535,11,0.0004483391073975953,1
JAWA TENGAH,33,KAB. KLATEN,33.10,Wonosari,331015,64770,29,0.00044773815037826153,1
JAWA TIMUR,35,KAB. BLITAR,35.05,Wates,350520,31303,14,0.0004472414784525445,1
KALIMANTAN TENGAH,62,KAB. KOTAWARINGIN TIMUR,62.02,Mentawa Baru Ketapang,620206,98424,44,0.0004470454360725026,1
KALIMANTAN SELATAN,63,KOTA BANJARBARU,63.72,Landasan Ulin,637202,69352,31,0.0004469950397969777,1
SULAWESI SELATAN,73,KAB. LUWU TIMUR,73.24,Wotu,732406,33569,15,0.0004468408352944681,1
JAWA TIMUR,35,KAB. PONOROGO,35.02,Mlarak,350208,35812,16,0.0004467776164414163,1
SULAWESI SELATAN,73,KAB. GOWA,73.06,Pattalasang,730613,29131,13,0.00044625999794033845,1
JAWA TENGAH,33,KAB. WONOGIRI,33.12,Jatipurno,331221,40352,18,0.00044607454401268833,1
BALI,51,KAB. BULELENG,51.08,Banjar,510804,89680,40,0.00044603033006244426,1
KEPULAUAN RIAU,21,KAB. BINTAN,21.01,Teluk Bintan,210108,11218,5,0.0004457122481725798,1
KALIMANTAN UTARA,65,KAB. NUNUKAN,65.03,Sei Menggaris,650313,8978,4,0.00044553352639786146,1
SULAWESI SELATAN,73,KAB. MAROS,73.09,Marusu,730908,33672,15,0.0004454739843193158,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Ngantru,350404,58384,26,0.000445327486982735,1
JAWA BARAT,32,KAB. KARAWANG,32.15,Kota Baru,321525,128086,57,0.00044501350655028654,1
MALUKU,81,KOTA AMBON,81.71,Nusaniwe,817101,89892,40,0.0004449784185467005,1
JAWA TENGAH,33,KAB. BANYUMAS,33.02,Kembaran,330220,80920,36,0.0004448838358872961,1
BANTEN,36,KAB. TANGERANG,36.03,Jambe,360304,44965,20,0.0004447903925275214,1
JAWA BARAT,32,KAB. SUKABUMI,32.02,Kadudampit,320230,56229,25,0.00044461043233918443,1
BENGKULU,17,KAB. KAUR,17.04,Semidang Gumay,170408,6755,3,0.00044411547002220575,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Bandungan,332220,58566,26,0.0004439435850151965,1
KALIMANTAN TENGAH,62,KAB. GUNUNG MAS,62.10,Kurun,621002,33815,15,0.00044359012272660064,1
SULAWESI SELATAN,73,KOTA PALOPO,73.73,Wara Timur,737305,38328,17,0.0004435399707785431,1
KEPULAUAN RIAU,21,KAB. BINTAN,21.01,Bintan Utara,210107,22562,10,0.0004432231185178619,1
SULAWESI UTARA,71,KAB. KEP. SIAU TAGULANDANG BIARO,71.09,Siau Timur Selatan,710904,9032,4,0.0004428697962798937,1
RIAU,14,KAB. ROKAN HULU,14.06,Rambah Hilir,140608,40661,18,0.0004426846363837584,1
GORONTALO,75,KAB. BONE BOLANGO,75.03,Botupingge,750307,6782,3,0.0004423473901503981,1
ACEH,11,KAB. PIDIE,11.07,Kota Sigli,110709,20351,9,0.00044223871062847036,1
JAWA TIMUR,35,KAB. MAGETAN,35.20,Maospati,352011,47496,21,0.00044214249621020717,1
JAWA TIMUR,35,KAB. BOJONEGORO,35.22,Bojonegoro,352215,88266,39,0.00044184623750934674,1
PAPUA,91,KAB. MERAUKE,91.01,Naukenjerai,910112,2264,1,0.00044169611307420494,1
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. KULON PROGO,34.01,Temon,340101,29446,13,0.0004414861101677647,1
JAWA BARAT,32,KAB. SUMEDANG,32.11,Ujungjaya,321125,31723,14,0.00044132017778898594,1
JAWA TENGAH,33,KAB. DEMAK,33.21,Karanganyar,332109,74810,33,0.00044111749766074056,1
JAWA TENGAH,33,KAB. SUKOHARJO,33.11,Baki,331110,70308,31,0.0004409171075837742,1
JAWA TIMUR,35,KAB. PONOROGO,35.02,Kauman,350212,47677,21,0.0004404639553663192,1
JAWA BARAT,32,KAB. BOGOR,32.01,Ranca Bungur,320134,54586,24,0.0004396731762723043,1
JAWA BARAT,32,KAB. BANDUNG,32.04,Margaasih,320410,145577,64,0.0004396298865892277,1
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. GUNUNGKIDUL,34.03,Tanjungsari,340317,29579,13,0.00043950099732918625,1
KEPULAUAN RIAU,21,KOTA TANJUNG PINANG,21.72,Tanjung Pinang Barat,217201,47801,21,0.00043932135310976756,1
JAWA BARAT,32,KAB. KARAWANG,32.15,Cikampek,321513,113860,50,0.00043913578078341823,1
JAWA TENGAH,33,KAB. MAGELANG,33.08,Candimulyo,330815,50121,22,0.0004389377705951597,1
RIAU,14,KAB. BENGKALIS,14.03,Bathin Solapan,140316,88953,39,0.00043843377963643723,1
PAPUA,91,KAB. JAYAPURA,91.03,Kaureh,910311,9148,4,0.00043725404459991256,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Jambu,332208,41182,18,0.0004370841629838279,1
KALIMANTAN SELATAN,63,KOTA BANJARMASIN,63.71,Banjarmasin Barat,637103,139569,61,0.0004370598055442111,1
KALIMANTAN UTARA,65,KAB. MALINAU,65.02,Malinau Selatan,650206,4580,2,0.0004366812227074236,1
SULAWESI SELATAN,73,KAB. GOWA,73.06,Barombong,730612,43545,19,0.0004363302330922035,1
KALIMANTAN UTARA,65,KAB. BULUNGAN,65.01,Tanjung Selor,650105,52746,23,0.0004360520229022106,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Nusaherang,320820,20676,9,0.00043528728961114336,1
JAMBI,15,KOTA JAMBI,15.71,Paal Merah,157111,105690,46,0.00043523512158198506,1
RIAU,14,KAB. KEPULAUAN MERANTI,14.10,Tebing Tinggi Barat,141004,18418,8,0.0004343576935606472,1
SUMATERA BARAT,13,KOTA BUKITTINGGI,13.75,Guguak Panjang,137501,43836,19,0.00043343370745505975,1
JAWA TENGAH,33,KAB. PATI,33.18,Margoyoso,331816,73901,32,0.00043301173191161147,1
SULAWESI SELATAN,73,KAB. PANGKAJENE KEPULAUAN,73.10,Liukang Tupabbiring Utara,731013,13872,6,0.00043252595155709344,1
NUSA TENGGARA BARAT,52,KAB. LOMBOK BARAT,52.01,Labuapi,520108,74059,32,0.00043208792989373336,1
JAWA TIMUR,35,KAB. BLITAR,35.05,Wonodadi,350501,50916,22,0.0004320842171419593,1
PAPUA,91,KAB. MERAUKE,91.01,Animha,910113,2317,1,0.00043159257660768235,1
KEPULAUAN RIAU,21,KOTA BATAM,21.71,Batu Aji,217112,129820,56,0.00043136650747188415,1
JAWA TENGAH,33,KAB. WONOGIRI,33.12,Tirtomoyo,331205,55813,24,0.0004300073459588268,1
GORONTALO,75,KAB. PAHUWATO,75.04,Paguat,750405,16301,7,0.000429421507882952,1
KALIMANTAN BARAT,61,KOTA PONTIANAK,61.71,Pontianak Tenggara,617106,48916,21,0.0004293073840870063,1
PAPUA,91,KAB. BIAK NUMFOR,91.06,Biak Kota,910601,44264,19,0.00042924272546538946,1
JAMBI,15,KAB. MUARO JAMBI,15.05,Kumpeh,150503,23322,10,0.0004287796929937398,1
JAWA TENGAH,33,KAB. PATI,33.18,Tlogowungu,331814,53671,23,0.00042853682621900096,1
JAWA BARAT,32,KAB. SUMEDANG,32.11,Tomo,321124,23386,10,0.0004276062601556487,1
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Parmaksian,121224,11696,5,0.0004274965800273598,1
SULAWESI SELATAN,73,KAB. PANGKAJENE KEPULAUAN,73.10,Pangkajene,731004,49174,21,0.00042705494773660876,1
JAWA TENGAH,33,KAB. PATI,33.18,Jaken,331806,46883,20,0.0004265938613143357,1
JAWA BARAT,32,KAB. CIREBON,32.09,Karangwareng,320934,28151,12,0.0004262726013285496,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Ungaran Timur,332219,75074,32,0.0004262461038442071,1
SULAWESI TENGAH,72,KAB. BANGGAI,72.01,Luwuk,720104,35194,15,0.0004262090128999261,1
JAWA TENGAH,33,KAB. SUKOHARJO,33.11,Weru,331101,58766,25,0.0004254160569036518,1
SULAWESI TENGAH,72,KAB. POSO,72.02,Pamona Selatan,720206,21169,9,0.00042514998346638953,1
PAPUA BARAT,92,KAB. TELUK WONDAMA,92.07,Teluk Duairi,920703,2353,1,0.00042498937526561835,1
SUMATERA UTARA,12,KAB. TOBA SAMOSIR,12.12,Ajibata,121208,9423,4,0.0004244932611694789,1
BANTEN,36,KAB. TANGERANG,36.03,Legok,360320,106060,45,0.00042428813878936454,1
DAERAH ISTIMEWA YOGYAKARTA,34,KAB. GUNUNGKIDUL,34.03,Girisubo,340316,25930,11,0.00042421905129193986,1
JAWA BARAT,32,KAB. BANDUNG BARAT,32.17,Ngamprah,321706,169737,72,0.0004241856519203238,1
JAWA TENGAH,33,KAB. BREBES,33.29,Bumiayu,332903,110803,47,0.0004241762407155041,1
LAMPUNG,18,KOTA BANDAR LAMPUNG,18.71,Telukbetung Selatan,187107,44866,19,0.0004234832612668836,1
JAWA TENGAH,33,KAB. WONOSOBO,33.07,Selomerto,330706,54339,23,0.00042326873884318816,1
JAWA BARAT,32,KAB. KARAWANG,32.15,Purwasari,321529,73281,31,0.0004230291617199547,1
JAWA TENGAH,33,KAB. SUKOHARJO,33.11,Mojolaban,331108,92196,39,0.00042301184433164127,1
JAWA TIMUR,35,KAB. SITUBONDO,35.12,Situbondo,351207,49647,21,0.0004229862831591033,1
JAWA TENGAH,33,KAB. WONOGIRI,33.12,Jatisrono,331220,66247,28,0.0004226606487840959,1
JAMBI,15,KAB. TEBO,15.09,Serai Serumpun,150910,9474,4,0.0004222081486172683,1
BALI,51,KAB. GIANYAR,51.04,Blahbatuh,510402,73478,31,0.0004218949889762922,1
ACEH,11,KAB. GAYO LUES,11.13,Rikit Gaib,111303,4744,2,0.00042158516020236085,1
JAWA TENGAH,33,KAB. PATI,33.18,Winong,331804,64136,27,0.00042098041661469375,1
JAWA TENGAH,33,KAB. TEMANGGUNG,33.23,Temanggung,332303,83157,35,0.00042089060451916253,1
JAWA TENGAH,33,KOTA SEMARANG,33.74,Tugu,337416,33308,14,0.00042031944277651017,1
JAWA BARAT,32,KAB. KUNINGAN,32.08,Kramatmulya,320816,45269,19,0.00041971326956636993,1
JAWA TIMUR,35,KAB. MALANG,35.07,Kasembon,350728,30993,13,0.0004194495531248992,1
BANTEN,36,KOTA CILEGON,36.72,Citangkil,367208,76441,32,0.00041862351355947725,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Bergas,332213,69299,29,0.00041847645709173294,1
JAWA TIMUR,35,KAB. KEDIRI,35.06,Mojo,350602,78967,33,0.00041789608317398404,1
JAWA TIMUR,35,KAB. MAGETAN,35.20,Plaosan,352007,52692,22,0.00041752068625218247,1
JAWA TIMUR,35,KAB. TULUNGAGUNG,35.04,Tanggunggunung,350419,26360,11,0.000417298937784522,1
JAWA TENGAH,33,KAB. SRAGEN,33.14,Gemolong,331413,52753,22,0.0004170378935795121,1
JAWA TENGAH,33,KAB. WONOGIRI,33.12,Eromoko,331208,45595,19,0.0004167123588112732,1
KALIMANTAN TIMUR,64,KAB. MAHAKAM ULU,64.11,Laham,641103,2403,1,0.0004161464835622139,1
JAWA TIMUR,35,KAB. MOJOKERTO,35.16,Trawas,351604,31253,13,0.000415960067833488,1
ACEH,11,KAB. GAYO LUES,11.13,Kutapanjang,111302,9628,4,0.0004154549231408392,1
JAWA TENGAH,33,KOTA TEGAL,33.76,Tegal Barat,337601,69848,29,0.0004151872637727637,1
JAWA TIMUR,35,KAB. MADIUN,35.19,Balerejo,351910,45785,19,0.0004149830730588621,1
SULAWESI UTARA,71,KAB. MINAHASA UTARA,71.06,Kauditan,710602,28928,12,0.0004148230088495575,1
JAWA TENGAH,33,KAB. SEMARANG,33.22,Tuntang,332206,67538,28,0.0004145814208297551,1
ACEH,11,KOTA LANGSA,11.74,Langsa Timur,117401,16899,7,0.0004142256938280372,1
JAWA TENGAH,33,KAB. BANYUMAS,33.02,Pekuncen,330216,77382,32,0.0004135328629397017,1
NUSA TENGGARA TIMUR,53,KAB. MALAKA,53.21,Malaka Barat,532102,24195,10,0.0004133085348212441,1
JAWA TENGAH,33,KOTA TEGAL,33.76,Tegal Timur,337602,84761,35,0.0004129257559490804,1
JAWA BARAT,32,KOTA CIREBON,32.74,Pekalipan,327404,31591,13,0.0004115096071665981,1
GORONTALO,75,KAB. GORONTALO UTARA,75.05,Kwandang,750502,29184,12,0.00041118421052631577,1
JAWA BARAT,32,KAB. BANDUNG,32.04,Soreang,320437,116786,48,0.0004110081687873546,1
JAWA TIMUR,35,KAB. LAMONGAN,35.24,Karangbinangun,352424,41364,17,0.0004109853979305676,1
SUMATERA UTARA,12,KOTA MEDAN,12.71,Medan Johor,127111,153350,63,0.00041082491033583304,1
RIAU,14,KAB. BENGKALIS,14.03,Pinggir,140313,60936,25,0.0004102665091243272,1
JAWA TIMUR,35,KOTA BLITAR,35.72,Sananwetan,357203,58625,24,0.0004093816631130064,1
PAPUA,91,KAB. KEEROM,91.11,Arso Barat,911108,12217,5,0.0004092657771957109,1
SULAWESI UTARA,71,KOTA BITUNG,71.72,Maesa,717207,41560,17,0.00040904716073147257,1
JAWA TENGAH,33,KAB. PURWOREJO,33.06,Purworejo,330606,88066,36,0.0004087843208502714,1
JAWA TENGAH,33,KAB. KEBUMEN,33.05,Prembun,330509,29369,12,0.00040859409581531545,1
JAWA TENGAH,33,KAB. KLATEN,33.10,Pedan,331012,48990,20,0.0004082465809348847,1
BENGKULU,17,KOTA BENGKULU,17.71,Selebar,177101,73510,30,0.0004081077404434771,1
JAMBI,15,KAB. BUNGO,15.08,Tanah Tumbuh,150801,14712,6,0.0004078303425774878,1
