zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-09,1253,84.83,
JAWA_BARAT,2020-08-09,485,32.84,
SULAWESI_SELATAN,2020-08-09,221,14.96,
RIAU,2020-08-09,219,14.83,
SUMATERA_UTARA,2020-08-09,203,13.74,
MALUKU,2020-08-09,150,10.16,
SUMATERA_BARAT,2020-08-09,146,9.88,
ACEH,2020-08-09,145,9.82,
BANTEN,2020-08-09,94,6.36,
KALIMANTAN_TIMUR,2020-08-09,91,6.16,
NUSA_TENGGARA_BARAT,2020-08-09,54,3.66,
JAMBI,2020-08-08,40,2.71,
KEPULAUAN_RIAU,2020-08-09,36,2.44,
KALIMANTAN_TENGAH,2020-08-09,28,1.90,
PAPUA_BARAT,2020-08-09,25,1.69,
LAMPUNG,2020-08-08,20,1.35,
SULAWESI_BARAT,2020-08-08,17,1.15,
SULAWESI_TENGGARA,2020-08-09,16,1.08,
SULAWESI_TENGAH,2020-08-07,2,0.14,
KALIMANTAN_BARAT,2020-08-09,-2,-0.14,
BALI,2020-08-09,-8,-0.54,
KEPULAUAN_BANGKA_BELITUNG,2020-08-09,-8,-0.54,
NUSA_TENGGARA_TIMUR,2020-08-05,-12,-0.81,
BENGKULU,2020-08-09,-15,-1.02,
KALIMANTAN_UTARA,2020-08-09,-42,-2.84,
JAWA_TENGAH,2020-08-09,-43,-2.91,
KALIMANTAN_SELATAN,2020-08-09,-47,-3.18,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-09,-51,-3.45,
SULAWESI_UTARA,2020-08-09,-84,-5.69,
SUMATERA_SELATAN,2020-08-09,-158,-10.70,
GORONTALO,2020-08-09,-197,-13.34,
PAPUA,2020-08-09,-310,-20.99,
JAWA_TIMUR,2020-08-09,-314,-21.26,
MALUKU_UTARA,2020-08-09,-421,-28.50,
