zone,last_update,value,percentage,population
DKI_JAKARTA,2020-07-19,2052,18.27,
JAWA_TIMUR,2020-07-19,1789,15.93,
JAWA_TENGAH,2020-07-19,1459,12.99,
SULAWESI_SELATAN,2020-07-19,1085,9.66,
KALIMANTAN_SELATAN,2020-07-19,793,7.06,
SUMATERA_UTARA,2020-07-19,617,5.49,
BALI,2020-07-19,552,4.91,
JAWA_BARAT,2020-07-19,419,3.73,
SUMATERA_SELATAN,2020-07-19,359,3.20,
PAPUA,2020-07-19,355,3.16,
SULAWESI_UTARA,2020-07-19,238,2.12,
KALIMANTAN_TENGAH,2020-07-19,203,1.81,
KALIMANTAN_TIMUR,2020-07-19,178,1.58,
NUSA_TENGGARA_BARAT,2020-07-19,177,1.58,
MALUKU_UTARA,2020-07-19,133,1.18,
MALUKU,2020-07-19,86,0.77,
SULAWESI_TENGGARA,2020-07-19,76,0.68,
BANTEN,2020-07-19,75,0.67,
GORONTALO,2020-07-19,73,0.65,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-19,61,0.54,
PAPUA_BARAT,2020-07-19,55,0.49,
ACEH,2020-07-19,40,0.36,
RIAU,2020-07-19,32,0.28,
SUMATERA_BARAT,2020-07-19,26,0.23,
LAMPUNG,2020-07-19,23,0.20,
BENGKULU,2020-07-19,18,0.16,
SULAWESI_BARAT,2020-07-19,17,0.15,
KEPULAUAN_RIAU,2020-07-19,13,0.12,
KALIMANTAN_BARAT,2020-07-16,12,0.11,
JAMBI,2020-07-18,10,0.09,
NUSA_TENGGARA_TIMUR,2020-07-18,10,0.09,
KEPULAUAN_BANGKA_BELITUNG,2020-07-18,4,0.04,
SULAWESI_TENGAH,2020-07-19,3,0.03,
KALIMANTAN_UTARA,2020-07-17,2,0.02,
