date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-06,4,4,0,0,4,4,0,0
2020-03-12,34,30,2,2,31,27,1,1
2020-03-18,227,193,11,9,197,166,19,18
2020-03-24,685,458,30,19,600,403,55,36
2020-03-30,1414,729,75,45,1217,617,122,67
2020-04-05,2273,859,164,89,1911,694,198,76
2020-04-11,3842,1569,286,122,3229,1318,327,129
2020-04-17,5923,2081,607,321,4796,1567,520,193
2020-04-23,7775,1852,960,353,6168,1372,647,127
2020-04-29,9771,1996,1391,431,7596,1428,784,137
2020-05-05,12071,2300,2197,806,9002,1406,872,88
2020-05-11,14265,2194,2881,684,10393,1391,991,119
2020-05-17,17514,3249,4129,1248,12237,1844,1148,157
2020-05-23,21745,4231,5249,1120,15145,2908,1351,203
2020-05-29,25216,3471,6492,1243,17204,2059,1520,169
2020-06-04,28818,3602,8892,2400,18205,1001,1721,201
2020-06-10,34316,5498,12129,3237,20228,2023,1959,238
2020-06-16,40400,6084,15703,3574,22466,2238,2231,272
2020-06-22,46845,6445,18735,3032,25610,3144,2500,269
2020-06-28,54010,7165,22936,4201,28320,2710,2754,254
2020-07-04,62142,8132,28219,5283,30834,2514,3089,335
2020-07-10,72347,10205,33529,5310,35349,4515,3469,380
2020-07-14,78572,6225,37636,4107,37226,1877,3710,241
