zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-03,700,32.93,
JAWA_TIMUR,2020-09-03,340,15.99,
KALIMANTAN_SELATAN,2020-09-03,139,6.54,
JAWA_TENGAH,2020-09-03,135,6.35,
BALI,2020-09-03,117,5.50,
SUMATERA_UTARA,2020-09-03,112,5.27,
SULAWESI_SELATAN,2020-09-03,88,4.14,
KALIMANTAN_TENGAH,2020-09-03,85,4.00,
KALIMANTAN_TIMUR,2020-09-03,77,3.62,
SUMATERA_SELATAN,2020-09-03,37,1.74,
SULAWESI_UTARA,2020-09-03,35,1.65,
JAWA_BARAT,2020-09-03,30,1.41,
BANTEN,2020-09-03,24,1.13,
RIAU,2020-09-03,23,1.08,
SUMATERA_BARAT,2020-09-03,21,0.99,
MALUKU,2020-09-03,17,0.80,
GORONTALO,2020-09-03,16,0.75,
KALIMANTAN_UTARA,2020-09-03,15,0.71,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-03,14,0.66,
NUSA_TENGGARA_BARAT,2020-09-03,12,0.56,
KALIMANTAN_BARAT,2020-09-03,10,0.47,
SULAWESI_TENGGARA,2020-09-03,9,0.42,
ACEH,2020-09-03,8,0.38,
KEPULAUAN_RIAU,2020-09-03,8,0.38,
NUSA_TENGGARA_TIMUR,2020-09-03,4,0.19,
KEPULAUAN_BANGKA_BELITUNG,2020-09-03,2,0.09,
LAMPUNG,2020-09-03,2,0.09,
SULAWESI_BARAT,2020-09-03,2,0.09,
PAPUA_BARAT,2020-09-03,1,0.05,
SULAWESI_TENGAH,2020-09-03,1,0.05,
BENGKULU,2020-09-03,0,0.00,
JAMBI,2020-09-02,0,0.00,
MALUKU_UTARA,2020-09-03,0,0.00,
PAPUA,2020-09-03,0,0.00,
