zone,last_update,value,percentage,population
SUMATERA_SELATAN,2020-09-13,9.09,,
JAWA_TIMUR,2020-09-13,6.83,,
GORONTALO,2020-09-13,6.25,,
NUSA_TENGGARA_BARAT,2020-09-13,6.25,,
BALI,2020-09-13,5.31,,
SULAWESI_SELATAN,2020-09-13,4.35,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-13,4.08,,
RIAU,2020-09-13,3.77,,
NATIONAL,2020-09-14,3.76,,
PAPUA,2020-09-13,3.57,,
JAWA_BARAT,2020-09-13,3.11,,
KALIMANTAN_TENGAH,2020-09-13,2.78,,
SUMATERA_BARAT,2020-09-13,2.44,,
SULAWESI_UTARA,2020-09-13,2.27,,
JAWA_TENGAH,2020-09-13,2.13,,
ACEH,2020-09-13,1.89,,
PAPUA_BARAT,2020-09-12,1.49,,
KALIMANTAN_TIMUR,2020-09-13,1.15,,
DKI_JAKARTA,2020-09-13,0.36,,
BANTEN,2020-09-13,0.00,,
BENGKULU,2020-09-13,0.00,,
JAMBI,2020-09-13,0.00,,
KALIMANTAN_BARAT,2020-09-13,0.00,,
KALIMANTAN_SELATAN,2020-09-13,0.00,,
KALIMANTAN_UTARA,2020-09-13,0.00,,
KEPULAUAN_BANGKA_BELITUNG,2020-09-13,0.00,,
KEPULAUAN_RIAU,2020-09-13,0.00,,
LAMPUNG,2020-09-12,0.00,,
MALUKU,2020-09-13,0.00,,
MALUKU_UTARA,2020-09-13,0.00,,
NUSA_TENGGARA_TIMUR,2020-09-13,0.00,,
SULAWESI_BARAT,2020-09-13,0.00,,
SULAWESI_TENGAH,2020-09-13,0.00,,
SULAWESI_TENGGARA,2020-09-13,0.00,,
SUMATERA_UTARA,2020-09-13,0.00,,
