zone,last_update,value,percentage,population
MALUKU_UTARA,2020-07-15,87.94,,
SUMATERA_UTARA,2020-07-15,77.93,,
JAWA_BARAT,2020-07-15,77.71,,
GORONTALO,2020-07-15,69.93,,
SULAWESI_UTARA,2020-07-15,65.03,,
JAWA_TENGAH,2020-07-15,57.49,,
SULAWESI_BARAT,2020-07-15,57.14,,
BENGKULU,2020-07-15,53.66,,
SUMATERA_SELATAN,2020-07-15,53.26,,
KALIMANTAN_TENGAH,2020-07-14,51.39,,
PAPUA,2020-07-15,51.32,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-15,50.00,,
KALIMANTAN_TIMUR,2020-07-15,44.59,,
KALIMANTAN_SELATAN,2020-07-15,40.40,,
NUSA_TENGGARA_BARAT,2020-07-15,40.27,,
NATIONAL,2020-07-16,34.61,,
SULAWESI_SELATAN,2020-07-15,34.43,,
LAMPUNG,2020-07-15,33.33,,
JAWA_TIMUR,2020-07-15,30.76,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-15,30.00,,
ACEH,2020-07-15,27.45,,
DKI_JAKARTA,2020-07-15,16.57,,
PAPUA_BARAT,2020-07-14,15.09,,
BALI,2020-07-15,14.40,,
SULAWESI_TENGGARA,2020-07-15,10.32,,
SUMATERA_BARAT,2020-07-15,-28.57,,
KEPULAUAN_RIAU,2020-07-15,-30.77,,
MALUKU,2020-07-15,-74.27,,
KALIMANTAN_BARAT,2020-07-13,-91.18,,
SULAWESI_TENGAH,2020-07-15,-111.11,,
RIAU,2020-07-14,-130.00,,
JAMBI,2020-07-15,-150.00,,
KALIMANTAN_UTARA,2020-07-13,-181.82,,
BANTEN,2020-07-15,-232.41,,
NUSA_TENGGARA_TIMUR,2020-07-08,-410.00,,
