zone,last_update,value,percentage,population
JAWA_TIMUR,2020-08-06,11155,25.02,
DKI_JAKARTA,2020-08-06,6476,14.52,
SULAWESI_SELATAN,2020-08-06,4575,10.26,
JAWA_TENGAH,2020-08-06,4474,10.03,
KALIMANTAN_SELATAN,2020-08-06,2582,5.79,
JAWA_BARAT,2020-08-06,2280,5.11,
BALI,2020-08-06,1995,4.47,
SUMATERA_UTARA,2020-08-06,1344,3.01,
SULAWESI_UTARA,2020-08-06,1102,2.47,
KALIMANTAN_TENGAH,2020-08-06,797,1.79,
SUMATERA_SELATAN,2020-08-06,785,1.76,
MALUKU_UTARA,2020-08-06,720,1.61,
GORONTALO,2020-08-06,688,1.54,
KALIMANTAN_TIMUR,2020-08-06,610,1.37,
PAPUA,2020-08-06,477,1.07,
BANTEN,2020-08-06,472,1.06,
NUSA_TENGGARA_BARAT,2020-08-06,441,0.99,
SULAWESI_TENGGARA,2020-08-06,374,0.84,
MALUKU,2020-08-06,292,0.65,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-06,207,0.46,
PAPUA_BARAT,2020-08-06,158,0.35,
RIAU,2020-08-06,144,0.32,
SUMATERA_BARAT,2020-08-06,132,0.30,
KALIMANTAN_UTARA,2020-08-06,78,0.17,
KALIMANTAN_BARAT,2020-08-06,63,0.14,
SULAWESI_BARAT,2020-08-06,61,0.14,
LAMPUNG,2020-08-06,59,0.13,
KEPULAUAN_BANGKA_BELITUNG,2020-08-05,43,0.10,
KEPULAUAN_RIAU,2020-08-05,41,0.09,
NUSA_TENGGARA_TIMUR,2020-08-05,38,0.09,
ACEH,2020-08-06,37,0.08,
BENGKULU,2020-08-06,36,0.08,
JAMBI,2020-08-05,35,0.08,
SULAWESI_TENGAH,2020-08-05,28,0.06,
