zone,last_update,value,percentage,population
JAWA_TENGAH,2020-08-02,8.49,,
JAWA_TIMUR,2020-08-02,8.05,,
NUSA_TENGGARA_BARAT,2020-08-02,6.49,,
BENGKULU,2020-08-02,6.38,,
JAMBI,2020-08-02,6.12,,
SUMATERA_SELATAN,2020-08-02,4.79,,
SULAWESI_TENGAH,2020-08-02,4.55,,
NATIONAL,2020-08-05,4.29,,
SUMATERA_UTARA,2020-08-02,4.15,,
KALIMANTAN_TENGAH,2020-08-02,4.03,,
KALIMANTAN_SELATAN,2020-08-02,3.54,,
ACEH,2020-08-02,3.49,,
SULAWESI_SELATAN,2020-08-02,3.42,,
KALIMANTAN_TIMUR,2020-08-02,3.00,,
MALUKU_UTARA,2020-08-02,2.96,,
BANTEN,2020-08-02,2.91,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-02,2.80,,
GORONTALO,2020-08-02,2.36,,
DKI_JAKARTA,2020-08-02,2.06,,
SULAWESI_UTARA,2020-08-02,1.99,,
SULAWESI_TENGGARA,2020-08-01,1.94,,
MALUKU,2020-08-02,1.76,,
SULAWESI_BARAT,2020-08-02,1.75,,
BALI,2020-08-02,1.70,,
SUMATERA_BARAT,2020-08-02,1.65,,
PAPUA,2020-08-02,1.49,,
LAMPUNG,2020-08-02,1.32,,
KEPULAUAN_RIAU,2020-08-02,1.11,,
PAPUA_BARAT,2020-08-02,0.98,,
RIAU,2020-08-02,0.90,,
JAWA_BARAT,2020-08-02,0.74,,
KALIMANTAN_BARAT,2020-07-31,0.00,,
KALIMANTAN_UTARA,2020-08-01,0.00,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,0.00,,
NUSA_TENGGARA_TIMUR,2020-08-02,0.00,,
