zone,last_update,value,percentage,population
BENGKULU,2020-08-10,16.67,,
SUMATERA_SELATAN,2020-08-10,11.63,,
JAWA_TENGAH,2020-08-10,7.39,,
KEPULAUAN_RIAU,2020-08-10,6.45,,
JAWA_TIMUR,2020-08-10,5.79,,
MALUKU_UTARA,2020-08-10,5.56,,
NUSA_TENGGARA_BARAT,2020-08-10,4.82,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-10,3.85,,
KALIMANTAN_TIMUR,2020-08-10,3.81,,
NATIONAL,2020-08-11,3.18,,
SUMATERA_UTARA,2020-08-10,2.91,,
SULAWESI_UTARA,2020-08-10,2.61,,
SULAWESI_BARAT,2020-08-08,2.33,,
BANTEN,2020-08-10,2.09,,
DKI_JAKARTA,2020-08-10,2.03,,
KALIMANTAN_TENGAH,2020-08-10,1.93,,
KALIMANTAN_SELATAN,2020-08-10,1.90,,
JAWA_BARAT,2020-08-10,1.87,,
SULAWESI_SELATAN,2020-08-10,1.78,,
SULAWESI_TENGGARA,2020-08-09,1.72,,
GORONTALO,2020-08-10,1.71,,
PAPUA,2020-08-10,1.22,,
MALUKU,2020-08-10,0.95,,
ACEH,2020-08-10,0.82,,
RIAU,2020-08-10,0.37,,
BALI,2020-08-10,0.35,,
JAMBI,2020-08-08,0.00,,
KALIMANTAN_BARAT,2020-08-10,0.00,,
KALIMANTAN_UTARA,2020-08-10,0.00,,
KEPULAUAN_BANGKA_BELITUNG,2020-08-10,0.00,,
LAMPUNG,2020-08-10,0.00,,
NUSA_TENGGARA_TIMUR,2020-08-05,0.00,,
PAPUA_BARAT,2020-08-10,0.00,,
SULAWESI_TENGAH,2020-08-07,0.00,,
SUMATERA_BARAT,2020-08-10,0.00,,
