zone,last_update,value,percentage,population
DKI_JAKARTA,2020-09-21,660,,11058944
PAPUA_BARAT,2020-09-21,307,,735514
ACEH,2020-09-21,291,,3856404
KALIMANTAN_SELATAN,2020-09-21,234,,3215366
KALIMANTAN_TIMUR,2020-09-21,220,,3439150
MALUKU_UTARA,2020-09-21,218,,885950
KEPULAUAN_RIAU,2020-09-21,193,,1744063
BALI,2020-09-21,150,,4247341
KALIMANTAN_TENGAH,2020-09-21,124,,2251078
GORONTALO,2020-09-21,116,,1068216
MALUKU,2020-09-21,113,,1054437
SUMATERA_BARAT,2020-09-21,97,,5135071
NATIONAL,2020-09-21,91,,245596822
RIAU,2020-09-21,91,,5492714
PAPUA,2020-09-21,90,,1740450
SULAWESI_UTARA,2020-09-21,76,,2154904
SULAWESI_TENGGARA,2020-09-21,69,,1487542
JAWA_TIMUR,2020-09-21,66,,40531918
BENGKULU,2020-09-20,56,,1248241
JAWA_TENGAH,2020-09-21,54,,36461504
KALIMANTAN_UTARA,2020-09-21,52,,560965
SULAWESI_SELATAN,2020-09-21,52,,8340621
DAERAH_ISTIMEWA_YOGYAKARTA,2020-09-21,51,,3656108
JAWA_BARAT,2020-09-21,51,,45485037
SUMATERA_UTARA,2020-09-21,41,,13181814
SUMATERA_SELATAN,2020-09-21,32,,7467555
SULAWESI_BARAT,2020-09-21,29,,1256533
BANTEN,2020-09-21,24,,10451189
KEPULAUAN_BANGKA_BELITUNG,2020-09-21,22,,1330690
NUSA_TENGGARA_BARAT,2020-09-21,21,,4736032
NUSA_TENGGARA_TIMUR,2020-09-20,19,,3096127
KALIMANTAN_BARAT,2020-09-21,14,,4641876
JAMBI,2020-09-20,7,,3080619
LAMPUNG,2020-09-21,7,,8455434
SULAWESI_TENGAH,2020-09-21,1,,2047415
