zone,last_update,value,percentage,population
JAWA_TIMUR,2020-08-21,161,30.78,
DKI_JAKARTA,2020-08-21,89,17.02,
JAWA_TENGAH,2020-08-21,44,8.41,
KALIMANTAN_TIMUR,2020-08-21,40,7.65,
SUMATERA_UTARA,2020-08-21,30,5.74,
JAWA_BARAT,2020-08-21,17,3.25,
SUMATERA_SELATAN,2020-08-21,13,2.49,
KALIMANTAN_SELATAN,2020-08-21,12,2.29,
NUSA_TENGGARA_BARAT,2020-08-21,9,1.72,
PAPUA,2020-08-21,7,1.34,
SULAWESI_SELATAN,2020-08-21,7,1.34,
SUMATERA_BARAT,2020-08-21,7,1.34,
ACEH,2020-08-21,6,1.15,
MALUKU,2020-08-20,6,1.15,
SULAWESI_UTARA,2020-08-21,6,1.15,
GORONTALO,2020-08-21,5,0.96,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-21,4,0.76,
KEPULAUAN_RIAU,2020-08-21,4,0.76,
KALIMANTAN_TENGAH,2020-08-21,3,0.57,
RIAU,2020-08-21,3,0.57,
BALI,2020-08-21,2,0.38,
BANTEN,2020-08-21,2,0.38,
JAMBI,2020-08-21,1,0.19,
LAMPUNG,2020-08-21,1,0.19,
SULAWESI_TENGGARA,2020-08-21,1,0.19,
BENGKULU,2020-08-21,0,0.00,
KALIMANTAN_BARAT,2020-08-21,0,0.00,
KALIMANTAN_UTARA,2020-08-21,0,0.00,
KEPULAUAN_BANGKA_BELITUNG,2020-08-21,0,0.00,
MALUKU_UTARA,2020-08-20,0,0.00,
NUSA_TENGGARA_TIMUR,2020-08-15,0,0.00,
PAPUA_BARAT,2020-08-21,0,0.00,
SULAWESI_BARAT,2020-08-21,0,0.00,
SULAWESI_TENGAH,2020-08-21,0,0.00,
