date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-02,2,2,0,0,2,2,0,0
2020-03-04,2,0,0,0,2,0,0,0
2020-03-06,4,2,0,0,4,2,0,0
2020-03-08,6,2,0,0,6,2,0,0
2020-03-10,27,21,2,2,25,19,0,0
2020-03-12,34,7,2,0,31,6,1,1
2020-03-14,96,62,8,6,83,52,5,4
2020-03-16,134,38,8,0,121,38,5,0
2020-03-18,227,93,11,3,197,76,19,14
2020-03-20,369,142,17,6,320,123,32,13
2020-03-22,514,145,29,12,437,117,48,16
2020-03-24,685,171,30,1,600,163,55,7
2020-03-26,893,208,35,5,780,180,78,23
2020-03-28,1155,262,59,24,994,214,102,24
2020-03-30,1414,259,75,16,1217,223,122,20
2020-04-01,1677,263,103,28,1417,200,157,35
2020-04-03,1986,309,134,31,1671,254,181,24
2020-04-05,2273,287,164,30,1911,240,198,17
2020-04-07,2738,465,204,40,2313,402,221,23
2020-04-09,3293,555,252,48,2761,448,280,59
2020-04-11,3842,549,286,34,3229,468,327,47
2020-04-13,4557,715,380,94,3778,549,399,72
2020-04-15,5136,579,446,66,4221,443,469,70
2020-04-17,5923,787,607,161,4796,575,520,51
2020-04-19,6575,652,686,79,5307,511,582,62
2020-04-21,7135,560,842,156,5677,370,616,34
2020-04-23,7775,640,960,118,6168,491,647,31
2020-04-25,8607,832,1042,82,6845,677,720,73
2020-04-27,9096,489,1151,109,7180,335,765,45
2020-04-29,9771,675,1391,240,7596,416,784,19
2020-05-01,10551,780,1591,200,8160,564,800,16
2020-05-03,11192,641,1876,285,8471,311,845,45
2020-05-05,12071,879,2197,321,9002,531,872,27
2020-05-07,12776,705,2381,184,9465,463,930,58
2020-05-09,13645,869,2607,226,10079,614,959,29
2020-05-11,14265,620,2881,274,10393,314,991,32
2020-05-13,15438,1173,3287,406,11123,730,1028,37
2020-05-15,16496,1058,3803,516,11617,494,1076,48
2020-05-17,17514,1018,4129,326,12237,620,1148,72
2020-05-19,18496,982,4467,338,12808,571,1221,73
2020-05-21,20162,1666,4838,371,14046,1238,1278,57
2020-05-23,21745,1583,5249,411,15145,1099,1351,73
2020-05-25,22750,1005,5642,393,15717,572,1391,40
2020-05-27,23851,1101,6057,415,16321,604,1473,82
2020-05-29,25216,1365,6492,435,17204,883,1520,47
2020-05-31,26473,1257,7308,816,17552,348,1613,93
2020-06-02,27549,1076,7935,627,17951,399,1663,50
2020-06-04,28818,1269,8892,957,18205,254,1721,58
2020-06-06,30514,1696,9907,1015,18806,601,1801,80
2020-06-08,32033,1519,10904,997,19246,440,1883,82
2020-06-10,34316,2283,12129,1225,20228,982,1959,76
2020-06-12,36406,2090,13213,1084,21145,917,2048,89
2020-06-14,38277,1871,14531,1318,21612,467,2134,86
2020-06-16,40400,2123,15703,1172,22466,854,2231,97
2020-06-18,42762,2362,16798,1095,23625,1159,2339,108
2020-06-20,45029,2267,17883,1085,24717,1092,2429,90
2020-06-22,46845,1816,18735,852,25610,893,2500,71
2020-06-24,49009,2164,19658,923,26778,1168,2573,73
2020-06-26,51427,2418,21333,1675,27411,633,2683,110
2020-06-28,54010,2583,22936,1603,28320,909,2754,71
2020-06-30,56385,2375,24806,1870,28703,383,2876,122
2020-07-02,59394,3009,26667,1861,29740,1037,2987,111
2020-07-04,62142,2748,28219,1552,30834,1094,3089,102
2020-07-06,64958,2816,29919,1700,31798,964,3241,152
2020-07-08,68079,3121,31585,1666,33135,1337,3359,118
2020-07-10,72347,4268,33529,1944,35349,2214,3469,110
2020-07-12,75699,3352,35638,2109,36455,1106,3606,137
2020-07-14,78572,2873,37636,1998,37226,771,3710,104
