zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-06,1320,19.90,
JAWA_TIMUR,2020-08-06,1133,17.08,
SULAWESI_SELATAN,2020-08-06,425,6.41,
JAWA_TENGAH,2020-08-06,324,4.89,
JAWA_BARAT,2020-08-06,302,4.55,
SUMATERA_UTARA,2020-08-06,284,4.28,
KALIMANTAN_SELATAN,2020-08-06,240,3.62,
KALIMANTAN_TIMUR,2020-08-06,163,2.46,
SULAWESI_TENGGARA,2020-08-06,162,2.44,
SUMATERA_SELATAN,2020-08-06,147,2.22,
BALI,2020-08-06,115,1.73,
RIAU,2020-08-06,115,1.73,
GORONTALO,2020-08-06,109,1.64,
BANTEN,2020-08-06,88,1.33,
MALUKU,2020-08-06,86,1.30,
KALIMANTAN_TENGAH,2020-08-06,83,1.25,
PAPUA,2020-08-06,78,1.18,
SULAWESI_UTARA,2020-08-06,76,1.15,
NUSA_TENGGARA_BARAT,2020-08-06,74,1.12,
SUMATERA_BARAT,2020-08-06,64,0.97,
ACEH,2020-08-06,50,0.75,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-06,47,0.71,
PAPUA_BARAT,2020-08-06,32,0.48,
SULAWESI_BARAT,2020-08-06,26,0.39,
JAMBI,2020-08-05,24,0.36,
MALUKU_UTARA,2020-08-06,20,0.30,
KALIMANTAN_BARAT,2020-08-06,7,0.11,
KALIMANTAN_UTARA,2020-08-06,7,0.11,
KEPULAUAN_RIAU,2020-08-05,7,0.11,
BENGKULU,2020-08-06,5,0.08,
KEPULAUAN_BANGKA_BELITUNG,2020-08-05,4,0.06,
LAMPUNG,2020-08-06,2,0.03,
SULAWESI_TENGAH,2020-08-05,2,0.03,
NUSA_TENGGARA_TIMUR,2020-08-05,1,0.02,
