zone,last_update,value,percentage,population
KALIMANTAN_UTARA,2020-07-16,+Inf,,
NUSA_TENGGARA_TIMUR,2020-07-16,+Inf,,
KALIMANTAN_TENGAH,2020-07-16,159.09,,
RIAU,2020-07-16,137.50,,
KALIMANTAN_BARAT,2020-07-16,100.00,,
PAPUA_BARAT,2020-07-16,40.00,,
KEPULAUAN_RIAU,2020-07-16,11.11,,
JAWA_TIMUR,2020-07-16,10.09,,
SULAWESI_TENGGARA,2020-07-16,9.09,,
ACEH,2020-07-16,8.82,,
SULAWESI_SELATAN,2020-07-16,7.66,,
BANTEN,2020-07-16,6.67,,
NUSA_TENGGARA_BARAT,2020-07-16,5.19,,
SUMATERA_SELATAN,2020-07-16,4.65,,
NATIONAL,2020-07-16,4.63,,
DKI_JAKARTA,2020-07-16,4.27,,
PAPUA,2020-07-16,3.28,,
JAWA_BARAT,2020-07-16,3.11,,
JAWA_TENGAH,2020-07-16,3.06,,
SUMATERA_UTARA,2020-07-16,3.06,,
BALI,2020-07-16,2.53,,
KALIMANTAN_SELATAN,2020-07-16,2.48,,
GORONTALO,2020-07-16,1.89,,
SULAWESI_UTARA,2020-07-16,1.12,,
BENGKULU,2020-07-16,0.00,,
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-15,0.00,,
JAMBI,2020-07-16,0.00,,
KALIMANTAN_TIMUR,2020-07-16,0.00,,
KEPULAUAN_BANGKA_BELITUNG,2020-07-16,0.00,,
LAMPUNG,2020-07-16,0.00,,
MALUKU,2020-07-16,0.00,,
MALUKU_UTARA,2020-07-16,0.00,,
SULAWESI_BARAT,2020-07-16,0.00,,
SULAWESI_TENGAH,2020-07-16,0.00,,
SUMATERA_BARAT,2020-07-16,0.00,,
