zone,last_update,value,percentage,population
KALIMANTAN_SELATAN,2020-07-31,92,,3215366
DKI_JAKARTA,2020-07-31,76,,11058944
GORONTALO,2020-07-30,66,,1068216
BALI,2020-07-31,59,,4247341
MALUKU,2020-07-30,55,,1054437
MALUKU_UTARA,2020-07-30,44,,885950
PAPUA_BARAT,2020-07-31,39,,735514
SULAWESI_UTARA,2020-07-31,36,,2154904
JAWA_TIMUR,2020-07-31,33,,40531918
SUMATERA_UTARA,2020-07-31,31,,13181814
KALIMANTAN_TIMUR,2020-07-31,27,,3439150
NATIONAL,2020-08-01,24,,245596822
JAWA_TENGAH,2020-07-31,19,,36461504
PAPUA,2020-07-31,18,,1740450
SULAWESI_BARAT,2020-07-31,17,,1256533
SULAWESI_SELATAN,2020-07-31,16,,8340621
NUSA_TENGGARA_BARAT,2020-07-31,14,,4736032
KALIMANTAN_TENGAH,2020-07-31,13,,2251078
SUMATERA_SELATAN,2020-07-31,13,,7467555
DAERAH_ISTIMEWA_YOGYAKARTA,2020-07-31,12,,3656108
JAWA_BARAT,2020-07-31,9,,45485037
SULAWESI_TENGGARA,2020-07-30,8,,1487542
BANTEN,2020-07-31,7,,10451189
RIAU,2020-07-31,7,,5492714
SUMATERA_BARAT,2020-07-31,3,,5135071
BENGKULU,2020-07-31,1,,1248241
JAMBI,2020-07-31,1,,3080619
SULAWESI_TENGAH,2020-07-29,1,,2047415
ACEH,2020-07-31,0,,3856404
KALIMANTAN_BARAT,2020-07-31,0,,4641876
KALIMANTAN_UTARA,2020-07-31,0,,560965
KEPULAUAN_BANGKA_BELITUNG,2020-07-29,0,,1330690
KEPULAUAN_RIAU,2020-07-31,0,,1744063
LAMPUNG,2020-07-30,0,,8455434
NUSA_TENGGARA_TIMUR,2020-07-26,0,,3096127
