zone,last_update,value,percentage,population
DKI_JAKARTA,2020-08-09,162,,11058944
GORONTALO,2020-08-09,117,,1068216
MALUKU,2020-08-09,103,,1054437
MALUKU_UTARA,2020-08-09,93,,885950
PAPUA_BARAT,2020-08-09,82,,735514
KALIMANTAN_SELATAN,2020-08-09,74,,3215366
KALIMANTAN_TENGAH,2020-08-09,59,,2251078
KALIMANTAN_TIMUR,2020-08-09,54,,3439150
SULAWESI_TENGGARA,2020-08-09,46,,1487542
SULAWESI_UTARA,2020-08-09,38,,2154904
PAPUA,2020-08-09,37,,1740450
SULAWESI_SELATAN,2020-08-09,34,,8340621
BALI,2020-08-09,32,,4247341
JAWA_TIMUR,2020-08-09,30,,40531918
NATIONAL,2020-08-09,27,,245596822
SUMATERA_UTARA,2020-08-09,26,,13181814
ACEH,2020-08-09,25,,3856404
SULAWESI_BARAT,2020-08-08,24,,1256533
RIAU,2020-08-09,20,,5492714
SUMATERA_BARAT,2020-08-09,20,,5135071
KEPULAUAN_RIAU,2020-08-09,19,,1744063
NUSA_TENGGARA_BARAT,2020-08-09,14,,4736032
JAWA_BARAT,2020-08-09,13,,45485037
JAWA_TENGAH,2020-08-09,13,,36461504
DAERAH_ISTIMEWA_YOGYAKARTA,2020-08-09,12,,3656108
SUMATERA_SELATAN,2020-08-09,12,,7467555
BENGKULU,2020-08-09,10,,1248241
BANTEN,2020-08-09,8,,10451189
JAMBI,2020-08-08,6,,3080619
KALIMANTAN_UTARA,2020-08-09,5,,560965
KALIMANTAN_BARAT,2020-08-09,3,,4641876
KEPULAUAN_BANGKA_BELITUNG,2020-08-09,3,,1330690
LAMPUNG,2020-08-08,1,,8455434
SULAWESI_TENGAH,2020-08-07,1,,2047415
NUSA_TENGGARA_TIMUR,2020-08-05,0,,3096127
