provinsi,tanggal,AKUMULASI_KASUS,KASUS,AKUMULASI_SEMBUH,SEMBUH,AKUMULASI_MENINGGAL,MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,DIRAWAT_OR_ISOLASI
JAWA TENGAH,2020-04-23,527,59,72,4,45,1,410,54
JAWA TENGAH,2020-04-24,564,37,73,1,48,3,443,33
JAWA TENGAH,2020-04-25,610,46,81,8,49,1,480,37
JAWA TENGAH,2020-04-26,638,28,81,0,49,0,508,28
JAWA TENGAH,2020-04-27,655,17,91,10,50,1,514,6
JAWA TENGAH,2020-04-28,671,16,104,13,50,0,517,3
JAWA TENGAH,2020-04-29,700,29,108,4,52,2,540,23
JAWA TENGAH,2020-04-30,715,15,113,5,53,1,549,9
JAWA TENGAH,2020-05-01,737,22,119,6,54,1,564,15
JAWA TENGAH,2020-05-02,756,19,126,7,54,0,576,12
JAWA TENGAH,2020-05-03,765,9,134,8,55,1,576,0
JAWA TENGAH,2020-05-04,787,22,140,6,55,0,592,16
JAWA TENGAH,2020-05-05,836,49,155,15,55,0,626,34
JAWA TENGAH,2020-05-06,880,44,180,25,56,1,644,18
JAWA TENGAH,2020-05-07,893,13,193,13,57,1,643,-1
JAWA TENGAH,2020-05-08,921,28,223,30,57,0,641,-2
JAWA TENGAH,2020-05-09,947,26,234,11,59,2,654,13
JAWA TENGAH,2020-05-10,966,19,234,0,60,1,672,18
JAWA TENGAH,2020-05-11,968,2,237,3,60,0,671,-1
JAWA TENGAH,2020-05-12,977,9,237,0,61,1,679,8
JAWA TENGAH,2020-05-13,1009,32,238,1,61,0,710,31
JAWA TENGAH,2020-05-14,1055,46,239,1,61,0,755,45
JAWA TENGAH,2020-05-15,1098,43,244,5,61,0,793,38
JAWA TENGAH,2020-05-16,1129,31,244,0,61,0,824,31
JAWA TENGAH,2020-05-17,1146,17,244,0,61,0,841,17
JAWA TENGAH,2020-05-18,1154,8,249,5,61,0,844,3
JAWA TENGAH,2020-05-19,1164,10,249,0,61,0,854,10
JAWA TENGAH,2020-05-20,1181,17,250,1,61,0,870,16
JAWA TENGAH,2020-05-21,1206,25,252,2,61,0,893,23
JAWA TENGAH,2020-05-22,1223,17,252,0,61,0,910,17
JAWA TENGAH,2020-05-23,1277,54,252,0,61,0,964,54
JAWA TENGAH,2020-05-24,1298,21,256,4,61,0,981,17
JAWA TENGAH,2020-05-25,1300,2,257,1,61,0,982,1
JAWA TENGAH,2020-05-26,1304,4,272,15,61,0,971,-11
JAWA TENGAH,2020-05-27,1315,11,272,0,61,0,982,11
JAWA TENGAH,2020-05-28,1325,10,272,0,61,0,992,10
JAWA TENGAH,2020-05-29,1339,14,331,59,61,0,947,-45
JAWA TENGAH,2020-05-30,1355,16,351,20,61,0,943,-4
JAWA TENGAH,2020-05-31,1392,37,357,6,61,0,974,31
JAWA TENGAH,2020-06-01,1406,14,366,9,61,0,979,5
JAWA TENGAH,2020-06-02,1421,15,367,1,61,0,993,14
JAWA TENGAH,2020-06-03,1444,23,368,1,62,1,1014,21
JAWA TENGAH,2020-06-04,1468,24,369,1,62,0,1037,23
JAWA TENGAH,2020-06-05,1526,58,404,35,68,6,1054,17
JAWA TENGAH,2020-06-06,1553,27,406,2,68,0,1079,25
JAWA TENGAH,2020-06-07,1604,51,416,10,90,22,1098,19
JAWA TENGAH,2020-06-08,1631,27,426,10,90,0,1115,17
JAWA TENGAH,2020-06-09,1663,32,507,81,95,5,1061,-54
JAWA TENGAH,2020-06-10,1802,139,624,117,95,0,1083,22
JAWA TENGAH,2020-06-11,1821,19,629,5,95,0,1097,14
JAWA TENGAH,2020-06-12,1865,44,676,47,95,0,1094,-3
JAWA TENGAH,2020-06-13,1935,70,704,28,95,0,1136,42
JAWA TENGAH,2020-06-14,2048,113,729,25,96,1,1223,87
JAWA TENGAH,2020-06-15,2164,116,769,40,113,17,1282,59
JAWA TENGAH,2020-06-16,2220,56,788,19,113,0,1319,37
JAWA TENGAH,2020-06-17,2335,115,852,64,113,0,1370,51
JAWA TENGAH,2020-06-18,2380,45,873,21,122,9,1385,15
JAWA TENGAH,2020-06-19,2460,80,893,20,135,13,1432,47
JAWA TENGAH,2020-06-20,2558,98,917,24,135,0,1506,74
JAWA TENGAH,2020-06-21,2657,99,945,28,135,0,1577,71
JAWA TENGAH,2020-06-22,2706,49,971,26,136,1,1599,22
JAWA TENGAH,2020-06-23,2755,49,1015,44,140,4,1600,1
JAWA TENGAH,2020-06-24,2831,76,1023,8,142,2,1666,66
JAWA TENGAH,2020-06-25,2909,78,1023,0,142,0,1744,78
