date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-01,2,2,0,0,2,2,0,0
2020-03-06,27,25,2,2,25,23,0,0
2020-03-11,117,90,8,6,104,79,5,5
2020-03-16,369,252,17,9,320,216,32,27
2020-03-21,790,421,31,14,701,381,58,26
2020-03-26,1414,624,75,44,1217,516,122,64
2020-03-31,2092,678,150,75,1751,534,191,69
2020-04-05,3293,1201,252,102,2761,1010,280,89
2020-04-10,4839,1546,426,174,3954,1193,459,179
2020-04-15,6575,1736,686,260,5307,1353,582,123
2020-04-20,8211,1636,1002,316,6520,1213,689,107
2020-04-25,9771,1560,1391,389,7596,1076,784,95
2020-04-30,11587,1816,1954,563,8769,1173,864,80
2020-05-05,13645,2058,2607,653,10079,1310,959,95
2020-05-10,16006,2361,3518,911,11445,1366,1043,84
2020-05-15,18496,2490,4467,949,12808,1363,1221,178
2020-05-20,22271,3775,5402,935,15497,2689,1372,151
2020-05-25,25216,2945,6492,1090,17204,1707,1520,148
2020-05-30,28233,3017,8406,1914,18129,925,1698,178
2020-06-04,32033,3800,10904,2498,19246,1117,1883,185
2020-06-09,37420,5387,13776,2872,21553,2307,2091,208
2020-06-14,42762,5342,16798,3022,23625,2072,2339,248
2020-06-19,47896,5134,19241,2443,26120,2495,2535,196
2020-06-24,54010,6114,22936,3695,28320,2200,2754,219
2020-06-29,60695,6685,27568,4632,30091,1771,3036,282
2020-07-04,68079,7384,31585,4017,33135,3044,3359,323
2020-07-09,76981,8902,36689,5104,36636,3501,3656,297
2020-07-14,78572,1591,37636,947,37226,590,3710,54
