date,total_confirmed,confirmed,total_recover,recover,total_active,active,total_death,death
2020-03-01,6,6,0,0,6,6,0,0
2020-03-09,134,128,8,8,121,115,5,5
2020-03-17,685,551,30,22,600,479,55,50
2020-03-25,1677,992,103,73,1417,817,157,102
2020-04-02,3293,1616,252,149,2761,1344,280,123
2020-04-10,5923,2630,607,355,4796,2035,520,240
2020-04-18,8607,2684,1042,435,6845,2049,720,200
2020-04-26,11192,2585,1876,834,8471,1626,845,125
2020-05-04,14265,3073,2881,1005,10393,1922,991,146
2020-05-12,18496,4231,4467,1586,12808,2415,1221,230
2020-05-20,23851,5355,6057,1590,16321,3513,1473,252
2020-05-28,28818,4967,8892,2835,18205,1884,1721,248
2020-06-05,36406,7588,13213,4321,21145,2940,2048,327
2020-06-13,45029,8623,17883,4670,24717,3572,2429,381
2020-06-21,54010,8981,22936,5053,28320,3603,2754,325
2020-06-29,64958,10948,29919,6983,31798,3478,3241,487
2020-07-07,78572,13614,37636,7717,37226,5428,3710,469
